Time, W_CPU, W_MEM, D_CPU, D_MEM
120,17.4,2674475008.0,0.2,86880256.0
121,31.0,2675363840.0,0.2,86880256.0
122,14.3,2675486720.0,0.1,86880256.0
123,19.0,2684461056.0,0.2,86880256.0
124,16.5,2691899392.0,0.3,86880256.0
125,28.9,2693795840.0,0.1,86880256.0
126,15.1,2693988352.0,0.3,86880256.0
127,22.9,2694602752.0,0.1,86880256.0
128,22.3,2687692800.0,0.3,86880256.0
129,22.9,2691153920.0,0.3,86880256.0
130,22.0,2700308480.0,0.2,86880256.0
131,15.3,2708905984.0,0.2,86880256.0
132,22.3,2730676224.0,0.1,86880256.0
133,25.9,2762346496.0,0.3,86880256.0
134,15.5,2762997760.0,0.3,86880256.0
135,24.4,2762276864.0,0.2,86880256.0
136,18.9,2762678272.0,0.1,100261888.0
137,16.3,2767122432.0,0.3,115257344.0
138,14.9,2771898368.0,0.3,100257792.0
139,30.3,2772688896.0,0.2,100257792.0
140,15.1,2775359488.0,0.2,86880256.0
141,21.1,2776092672.0,0.2,86880256.0
142,19.1,2776387584.0,0.2,100261888.0
143,20.2,2780958720.0,0.2,100257792.0
144,14.2,2781466624.0,0.2,86880256.0
145,26.1,2782699520.0,0.3,86880256.0
146,17.5,2785124352.0,0.3,86880256.0
147,20.5,2785415168.0,0.2,100323328.0
148,18.9,2787983360.0,0.1,86880256.0
149,19.8,2799017984.0,0.2,86884352.0
150,19.5,2799284224.0,0.2,101478400.0
151,20.2,2799308800.0,0.2,86884352.0
152,14.8,2799349760.0,0.3,86884352.0
153,20.9,2799947776.0,0.1,86884352.0
154,22.4,2800013312.0,0.3,86884352.0
155,20.3,2800840704.0,0.3,86884352.0
156,16.8,2800881664.0,0.1,86884352.0
157,24.2,2801033216.0,0.3,86884352.0
158,15.0,2801090560.0,0.2,86884352.0
159,17.3,2803474432.0,0.2,86884352.0
160,24.2,2804334592.0,0.3,86884352.0
161,18.8,2804760576.0,0.1,86884352.0
162,13.0,2804838400.0,0.3,86884352.0
163,23.8,2812833792.0,0.2,86884352.0
164,13.4,2812325888.0,0.2,86884352.0
165,23.2,2819665920.0,0.2,101482496.0
166,17.1,2821824512.0,0.1,101654528.0
167,25.4,2822139904.0,0.4,86884352.0
168,15.1,2822737920.0,0.3,102707200.0
169,24.3,2826989568.0,0.3,90357760.0
170,15.5,2827120640.0,0.2,90357760.0
171,19.7,2831540224.0,0.3,103813120.0
172,22.6,2835644416.0,0.1,90357760.0
173,19.6,2857586688.0,0.2,106778624.0
174,16.2,2863472640.0,0.3,90357760.0
175,24.8,2884677632.0,0.2,90357760.0
176,18.8,2885742592.0,0.1,90357760.0
177,19.3,2886373376.0,0.3,90357760.0
178,15.1,2886635520.0,0.2,90357760.0
179,20.4,2886864896.0,0.2,90357760.0
180,12.2,2892779520.0,0.2,90357760.0
181,24.3,2897965056.0,0.4,90357760.0
182,17.8,2895740928.0,0.1,90357760.0
183,24.1,2898886656.0,0.3,90357760.0
184,17.8,2899140608.0,0.1,90357760.0
185,14.7,2901549056.0,0.2,90357760.0
186,16.9,2902691840.0,0.3,90357760.0
187,22.9,2921283584.0,0.1,105541632.0
188,20.6,2932424704.0,0.1,90357760.0
189,18.3,2932686848.0,0.3,90357760.0
190,21.7,2933043200.0,0.3,90357760.0
191,15.2,2933321728.0,0.3,90357760.0
192,12.9,2933575680.0,0.2,103878656.0
193,23.3,2938232832.0,0.2,105353216.0
194,22.7,2938544128.0,0.1,106283008.0
195,17.9,2937274368.0,0.2,103878656.0
196,15.0,2937581568.0,0.2,90357760.0
197,17.7,2937909248.0,0.3,106315776.0
198,13.2,2943811584.0,0.1,103878656.0
199,26.9,2964779008.0,0.3,90357760.0
200,13.9,2965028864.0,0.3,90357760.0
201,17.0,2966032384.0,0.1,90357760.0
202,20.9,2966278144.0,0.2,90357760.0
203,14.2,2968604672.0,0.1,90357760.0
204,13.1,2969735168.0,0.3,90357760.0
205,22.3,2976456704.0,0.3,90357760.0
206,21.6,2973097984.0,0.2,90357760.0
207,17.7,2973384704.0,0.1,90357760.0
208,15.2,2973638656.0,0.3,90357760.0
209,21.0,2973888512.0,0.2,90357760.0
210,15.4,2979442688.0,0.2,90357760.0
211,25.8,2979831808.0,0.1,90357760.0
212,16.4,2980081664.0,0.2,90357760.0
213,18.3,2980339712.0,0.2,90357760.0
214,13.6,2980564992.0,0.2,90357760.0
215,20.7,2981347328.0,0.2,90357760.0
216,16.2,2981761024.0,0.3,90357760.0
217,23.9,2981806080.0,0.1,90357760.0
218,13.9,2981822464.0,0.2,90357760.0
219,20.9,2982023168.0,0.3,90357760.0
