"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3.33319309809223e-09,0.00322756166956049,3.33319309809223e-09,0.00322756166956049,3.33319309809223e-09,0.00322756166956049,3.33319309809223e-09,0.00322756166956049
"2",0.000225080838124218,0.0312630084711516,0.000225080838124218,0.0312630084711516,0.000225080838124218,0.0312630084711516,0.000225080838124218,0.0312630084711516
"3",0.14704236007892,0.959099065528162,0.14704236007892,0.959099065528162,0.14704236007892,0.959099065528162,0.14704236007892,0.959099065528162
"4",0.000156655238409691,0.00340503346438068,0.000156655238409691,0.00340503346438068,0.000156655238409691,0.00340503346438068,0.000156655238409691,0.00340503346438068
"5",0.384921539217523,0.601610044458704,0.384921539217523,0.601610044458704,0.384921539217523,0.601610044458704,0.384921539217523,0.601610044458704
"6",0.322062056889467,0.0156129885774875,0.322062056889467,0.0156129885774875,0.322062056889467,0.0156129885774875,0.322062056889467,0.0156129885774875
"7",0.0401304376871001,0.066704781573503,0.0401304376871001,0.066704781573503,0.0401304376871001,0.066704781573503,0.0401304376871001,0.066704781573503
"8",0.212256476642495,0.601825722415694,0.212256476642495,0.601825722415694,0.212256476642495,0.601825722415694,0.212256476642495,0.601825722415694
"9",0.794308839050979,0.268563469731259,0.794308839050979,0.268563469731259,0.794308839050979,0.268563469731259,0.794308839050979,0.268563469731259
"10",0.0486312945643504,0.312093331639769,0.0486312945643504,0.312093331639769,0.0486312945643504,0.312093331639769,0.0486312945643504,0.312093331639769
"11",6.75489908326426e-06,0.372407056922387,6.75489908326426e-06,0.372407056922387,6.75489908326426e-06,0.372407056922387,6.75489908326426e-06,0.372407056922387
"12",0.753786604988675,0.00434064436815172,0.753786604988675,0.00434064436815172,0.753786604988675,0.00434064436815172,0.753786604988675,0.00434064436815172
"13",0,0,0,0,0,0,0,0
"14",-0.30915327978581,-0.185384615384615,-0.30915327978581,-0.185384615384615,-0.30915327978581,-0.185384615384615,-0.30915327978581,-0.185384615384615
"15",-0.192720883534137,-0.136838624338624,-0.192720883534137,-0.136838624338624,-0.192720883534137,-0.136838624338624,-0.192720883534137,-0.136838624338624
"16",-0.07575,-0.00334022038567493,-0.07575,-0.00334022038567493,-0.07575,-0.00334022038567493,-0.07575,-0.00334022038567493
"17",-0.19745,-0.188808539944904,-0.19745,-0.188808539944904,-0.19745,-0.188808539944904,-0.19745,-0.188808539944904
"18",-0.0452510288065844,-0.0337105624142661,-0.0452510288065844,-0.0337105624142661,-0.0452510288065844,-0.0337105624142661,-0.0452510288065844,-0.0337105624142661
"19",-0.0517255744971588,-0.155354752342704,-0.0517255744971588,-0.155354752342704,-0.0517255744971588,-0.155354752342704,-0.0517255744971588,-0.155354752342704
"20",-0.10720058657868,-0.117838018741633,-0.10720058657868,-0.117838018741633,-0.10720058657868,-0.117838018741633,-0.10720058657868,-0.117838018741633
"21",-0.0650954356846473,-0.0335333333333333,-0.0650954356846473,-0.0335333333333333,-0.0650954356846473,-0.0335333333333333,-0.0650954356846473,-0.0335333333333333
"22",0.0136333333333333,-0.0710666666666667,0.0136333333333333,-0.0710666666666667,0.0136333333333333,-0.0710666666666667,0.0136333333333333,-0.0710666666666667
"23",0.103,0.0649333333333333,0.103,0.0649333333333333,0.103,0.0649333333333333,0.103,0.0649333333333333
"24",0.2351,-0.0573,0.2351,-0.0573,0.2351,-0.0573,0.2351,-0.0573
"25",0.0164795918367347,-0.179401993355482,0.0164795918367347,-0.179401993355482,0.0164795918367347,-0.179401993355482,0.0164795918367347,-0.179401993355482
