time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
1241,5.4,71643136,554856448,29024256,174759936
1251,5.3,74854400,554856448,32215040,174759936
1261,5.4,66981888,554856448,24510464,174759936
1271,5.1,71364608,554856448,28704768,174759936
1281,5.3,68427776,554856448,25694208,174759936
1291,5.2,67379200,554856448,24719360,174759936
1301,5.6,70766592,554856448,28110848,174759936
1311,5.2,68321280,554856448,25604096,174759936
1321,5.5,67596288,554856448,24940544,174759936
1331,5.3,72773632,554856448,29954048,174759936
1341,5.5,74543104,554856448,31637504,174759936
1351,5.2,68259840,554856448,25395200,174759936
1361,5.5,70877184,554856448,27983872,174759936
1371,5.3,71700480,554856448,28753920,174759936
1381,5.6,72183808,555905024,29167616,175808512
1391,5.1,71159808,555905024,28176384,175808512
1401,5.5,72867840,555905024,29925376,175808512
1411,5.2,72519680,555905024,29487104,175808512
1421,5.6,70119424,555905024,27013120,175808512
1431,5.4,69234688,555905024,26226688,175808512
1441,5.6,71323648,555905024,28364800,175808512
1451,5.5,75902976,555905024,32829440,175808512
1461,5.5,71696384,555905024,28565504,175808512
1471,5.3,70791168,555905024,27803648,175808512
1481,5.7,72228864,555905024,29155328,175808512
1491,5.5,73764864,555905024,30629888,175808512
1501,5.5,71073792,555905024,28049408,175808512
1511,5.5,66318336,555905024,23453696,175808512
1521,5.6,69447680,555905024,26370048,175808512
1531,5.6,70164480,555905024,27123712,175808512
1541,5.6,72646656,555905024,29687808,175808512
1551,5.6,75284480,555905024,32206848,175808512
1561,5.7,71344128,555905024,28286976,175808512
1571,5.5,72597504,555905024,29474816,175808512
1581,5.7,69046272,555905024,25985024,175808512
1591,5.5,68804608,555905024,25653248,175808512
1601,5.5,73687040,555905024,30433280,175808512
1611,5.6,76025856,555905024,32825344,175808512
1621,5.7,77176832,555905024,33890304,175808512
1631,5.5,74956800,555905024,31731712,175808512
1641,5.8,74571776,555905024,31301632,175808512
1651,5.7,74723328,555905024,31354880,175808512
1661,5.7,77045760,555905024,33742848,175808512
1671,5.7,73883648,555905024,30253056,175808512
1681,5.6,71671808,555905024,27951104,175808512
1691,5.9,70459392,555905024,26775552,175808512
1701,5.9,72318976,555905024,28454912,175808512
1711,5.9,72482816,555905024,28573696,175808512
1721,5.8,73416704,555905024,29446144,175808512
1731,5.8,70623232,555905024,26693632,175808512
1741,5.7,73781248,555905024,29741056,175808512
1751,5.6,73355264,555905024,29429760,175808512
1761,5.7,75325440,555905024,31264768,175808512
1771,5.9,77213696,555905024,33140736,175808512
1781,5.8,70344704,555905024,26419200,175808512
1791,5.6,70619136,555905024,26648576,175808512
1801,5.9,71610368,555905024,27643904,175808512
1811,6.0,74031104,555905024,29949952,175808512
1821,6.0,71503872,555905024,27508736,175808512
1831,6.0,70897664,555905024,26853376,175808512
1841,6.0,69722112,555905024,25497600,175808512
1851,5.8,74555392,555905024,30203904,175808512
1861,6.0,71487488,555905024,27111424,175808512
1871,5.8,72552448,555905024,28213248,175808512
1881,6.0,72450048,555905024,28090368,175808512
1891,5.9,71544832,555905024,27385856,175808512
1901,5.8,71847936,555905024,27697152,175808512
1911,6.0,71843840,555905024,27541504,175808512
1921,5.9,72278016,555905024,28082176,175808512
1931,6.1,69312512,555905024,25182208,175808512
1941,6.1,76595200,556953600,32280576,176857088
1951,5.9,71958528,556953600,27717632,176857088
1961,6.1,73367552,556953600,29102080,176857088
1971,5.9,71983104,556953600,27594752,176857088
1981,6.0,74186752,556953600,29761536,176857088
1991,6.0,72785920,556953600,28446720,176857088
2001,5.9,72183808,556953600,27877376,176857088
2011,6.0,71938048,556953600,27611136,176857088
2021,5.9,73068544,556953600,28708864,176857088
2031,6.1,71389184,556953600,27172864,176857088
2041,6.0,73957376,556953600,29519872,176857088
2051,5.9,70402048,556953600,26030080,176857088
2061,6.1,75243520,556953600,30961664,176857088
2071,6.1,71151616,556953600,26882048,176857088
2081,6.2,75821056,556953600,31514624,176857088
2091,6.1,72454144,556953600,28196864,176857088
2101,6.2,73928704,556953600,29659136,176857088
2111,6.2,71589888,556953600,27295744,176857088
2121,6.0,78426112,556953600,34119680,176857088
2131,6.2,77348864,556953600,32919552,176857088
2141,6.3,76419072,556953600,31969280,176857088
2151,6.2,75141120,556953600,30642176,176857088
2161,6.5,80035840,556953600,35565568,176857088
2171,6.1,79106048,556953600,34775040,176857088
2181,6.2,77078528,556953600,32677888,176857088
2191,6.2,78229504,556953600,33705984,176857088
2201,6.2,78741504,556953600,34197504,176857088
2211,6.0,78290944,556953600,33755136,176857088
2221,6.6,78110720,556953600,33595392,176857088
2231,6.1,74838016,556953600,30347264,176857088
2241,6.5,75882496,556953600,31297536,176857088
2251,6.3,74600448,556953600,30027776,176857088
2261,6.3,75640832,556953600,31100928,176857088
2271,6.3,78249984,556953600,33689600,176857088
