Time, W_CPU, W_MEM, D_CPU, D_MEM
138,27.5,3644649472.0,0.6,50950144.0
139,35.9,3661082624.0,0.4,50950144.0
140,37.6,3662712832.0,0.3,50950144.0
141,32.4,3662946304.0,0.4,50950144.0
142,36.6,3664850944.0,0.4,65441792.0
143,32.6,3658862592.0,0.5,50950144.0
144,34.4,3659018240.0,0.3,65130496.0
145,32.5,3659309056.0,0.4,50950144.0
146,42.1,3659452416.0,0.4,50950144.0
147,30.2,3663863808.0,0.5,50950144.0
148,30.4,3673128960.0,0.6,65306624.0
149,37.3,3679006720.0,0.3,50950144.0
150,27.9,3679031296.0,0.4,63336448.0
151,47.3,3692703744.0,0.2,65806336.0
152,38.2,3695149056.0,0.5,65171456.0
153,35.0,3695222784.0,0.4,63336448.0
154,36.5,3695259648.0,0.5,50950144.0
155,28.8,3695308800.0,0.4,50950144.0
156,37.0,3701972992.0,0.5,50950144.0
157,32.1,3702018048.0,0.3,50950144.0
158,34.6,3702054912.0,0.4,50950144.0
159,32.7,3702140928.0,0.6,50950144.0
160,28.4,3710976000.0,0.3,50950144.0
161,39.4,3709255680.0,0.4,50950144.0
162,27.5,3709579264.0,0.3,50950144.0
163,35.0,3709857792.0,0.5,50950144.0
164,27.2,3710185472.0,0.3,65052672.0
165,28.3,3734810624.0,0.5,65200128.0
166,38.1,3739471872.0,0.4,50954240.0
167,31.6,3739807744.0,0.4,50954240.0
168,40.6,3743412224.0,0.4,50954240.0
169,30.5,3744145408.0,0.4,50954240.0
170,33.0,3752726528.0,0.4,50954240.0
171,27.6,3754487808.0,0.3,65368064.0
172,35.6,3756032000.0,0.5,75735040.0
173,40.1,3756371968.0,0.4,50954240.0
174,28.5,3756654592.0,0.4,65277952.0
175,40.4,3741675520.0,0.3,77623296.0
176,28.7,3741945856.0,0.4,66031616.0
177,40.7,3739422720.0,0.6,50954240.0
178,28.5,3739746304.0,0.4,50954240.0
179,37.3,3742167040.0,0.3,66068480.0
180,36.0,3743076352.0,0.4,50954240.0
181,28.6,3743367168.0,0.4,50954240.0
182,34.2,3744661504.0,0.4,50954240.0
183,27.5,3744944128.0,0.5,50954240.0
184,32.1,3749036032.0,0.4,65306624.0
185,40.5,3763888128.0,0.4,50954240.0
186,27.9,3765551104.0,0.2,50954240.0
187,35.5,3767427072.0,0.5,50954240.0
188,29.0,3767693312.0,0.5,50954240.0
189,26.7,3769155584.0,0.4,50954240.0
190,41.2,3769458688.0,0.4,50954240.0
191,29.3,3769724928.0,0.4,50954240.0
192,32.8,3771465728.0,0.5,50954240.0
193,28.6,3771764736.0,0.3,50954240.0
194,27.7,3776864256.0,0.4,50954240.0
195,39.9,3778514944.0,0.4,63348736.0
196,28.9,3769880576.0,0.4,50958336.0
197,40.1,3770167296.0,0.4,50958336.0
198,28.9,3772248064.0,0.3,50958336.0
199,29.4,3772547072.0,0.5,50958336.0
200,33.7,3772604416.0,0.4,50958336.0
201,33.6,3774656512.0,0.3,50958336.0
202,34.7,3774693376.0,0.3,66396160.0
203,28.0,3774758912.0,0.4,50958336.0
204,32.9,3776319488.0,0.4,63352832.0
205,30.6,3806253056.0,0.3,50958336.0
206,34.6,3848355840.0,0.6,50958336.0
207,34.1,3846078464.0,0.4,66203648.0
208,29.4,3846123520.0,0.3,50958336.0
209,36.4,3846127616.0,0.4,50958336.0
210,28.3,3846156288.0,0.5,66220032.0
211,36.1,3846156288.0,0.3,50958336.0
212,32.9,3848265728.0,0.5,50958336.0
213,28.7,3851776000.0,0.4,50958336.0
214,34.5,3858841600.0,0.3,50958336.0
215,29.6,3858968576.0,0.4,65286144.0
216,38.0,3859234816.0,0.4,66248704.0
217,37.2,3859423232.0,0.6,50958336.0
218,32.6,3859427328.0,0.3,50958336.0
219,29.1,3868770304.0,0.5,53899264.0
220,37.1,3868774400.0,0.4,53899264.0
221,26.7,3882164224.0,0.5,53899264.0
222,36.4,3892432896.0,0.3,83582976.0
223,29.7,3924471808.0,0.5,53899264.0
224,33.1,3913613312.0,0.3,53899264.0
225,34.7,3913842688.0,0.4,69201920.0
226,33.8,3917189120.0,0.4,82620416.0
227,36.7,3917537280.0,0.4,53899264.0
228,29.4,3917787136.0,0.4,67715072.0
229,31.6,3918065664.0,0.3,68349952.0
230,34.1,3919085568.0,0.5,53899264.0
231,28.6,3919335424.0,0.4,53899264.0
232,36.9,3935313920.0,0.5,66334720.0
233,39.1,3935653888.0,0.3,53899264.0
234,30.8,3935920128.0,0.3,53899264.0
235,34.1,3935719424.0,0.5,53899264.0
236,33.4,3938119680.0,0.5,53899264.0
237,35.8,3938947072.0,0.3,53899264.0
238,30.3,3939254272.0,0.4,53903360.0
239,30.0,3939581952.0,0.4,53903360.0
240,38.8,3939885056.0,0.4,53903360.0
241,27.4,3940167680.0,0.4,53903360.0
242,39.4,3961294848.0,0.4,53903360.0
243,34.3,3961614336.0,0.3,53903360.0
244,28.8,3961929728.0,0.5,53903360.0
245,35.2,3962220544.0,0.4,53903360.0
246,29.1,3962519552.0,0.4,69066752.0
