"","V1","V2","V3","V4","V5"
"1",1,1.69604253904778e-08,2.03606838914395e-78,0,0
"2",1.69604253904778e-08,1,2.93395370003214e-138,0,0
"3",2.03606838914395e-78,2.93395370003214e-138,1,0,0
"4",0,0,0,1,0
"5",0,0,0,0,1
"6",0,0,0,0,0
"7",-2.21391406579139e-19,0.146696061140506,-0.494864408568112,-0.999991053855788,-1
"8",-0.146696061140506,6.17048712610599e-19,-0.586817256817257,-0.999902231423971,-1
"9",0.494864408568112,0.586817256817257,4.98269665081586e-19,-0.995193856063421,-1
"10",0.999991053855788,0.999902231423971,0.995193856063421,2.21947183860257e-19,-1
"11",1,1,1,1,-5.88836770799135e-19
