111000100100000111,816,4250,4135,2340,10725
010101100100111001,5543,345,428,374,1147
011110000001110100,5423,449,454,402,1305
010110000100010000,4527,645,672,514,1831
010101110001100111,349,4646,4675,2561,11882
010101110110000001,4130,1025,1139,842,3006
011000010000110010,3255,528,581,458,1567
101010100100101111,705,7938,8391,3749,20078
100101110110000001,6337,729,615,474,1818
010001110110000001,3306,1437,1240,955,3632
111110100001110100,9513,670,475,467,1612
010010100110101110,1984,1905,1929,1299,5133
111010010000111011,6603,410,432,357,1199
000101010010000100,2181,1175,1113,842,3130
100101110110000101,4012,876,907,732,2515
111000010000111110,2170,1956,1927,1360,5243
010101101000010000,3191,543,693,525,1761
110111101011001110,2238,4590,4527,2422,11539
011111100100110010,7290,519,419,359,1297
011111100100010010,5972,580,766,515,1861
111000000001110100,5790,429,453,399,1281
001110111000110111,448,7294,7275,3442,18011
110001100100010110,1599,1255,1398,982,3635
101001100001111110,1464,2328,2307,1522,6157
010110000110010010,4771,723,841,516,2080
101010010100111111,754,19429,19706,7660,46795
011011011011011011,3435,530,537,412,1479
011011101011111111,507,15837,16161,6289,38287
010101101100101100,3920,526,442,417,1385
010101101101101100,4144,506,472,406,1384
111110010011100110,2662,1659,1620,1179,4458
010101101101100100,3820,627,536,490,1653
010100111001001110,635,2393,2508,1627,6528
100101010010000101,2915,902,887,664,2453
000100111000010111,188,4128,3998,2309,10435
001010100110000000,2999,1264,1448,930,3642
111110000000110100,9480,459,400,392,1251
110000000110010110,1993,1905,1957,1325,5187
011001100001110110,941,1980,1976,1392,5348
011010001100010000,3771,658,704,503,1865
111111100111100110,3722,4629,4790,2499,11918
001100001100010100,2280,1024,920,702,2646
110101010100111111,1080,20038,19875,7827,47740
011111001110110010,8146,537,364,392,1293
101110001100011110,1971,2482,2468,1562,6512
111110000101111111,1565,20794,20606,8202,49602
000000001000010000,1314,865,1142,796,2803
111000010011100110,2194,1310,1128,943,3381
111110000001110100,9510,419,380,386,1185
110101101101101100,8468,523,548,404,1475
011001100011110110,1258,5071,5235,2742,13048
001110001100010110,1149,4325,4430,2457,11212
001010100001100110,670,1690,1664,1222,4576
001010100011100110,888,1159,1325,1073,3557
110011100100010110,1772,1467,1494,1076,4037
010100010010111111,361,13504,13197,5273,31974
110001001110110110,2656,2003,1929,1356,5288
011100010010111111,505,14904,15382,5821,36107
011110001100010110,1430,3590,3542,2125,9257
000110011110001010,3848,1293,1159,843,3295
111111100001110100,10081,441,418,373,1232
001010000011100110,983,1449,1580,1104,4133
