7,0,4,4,0,7,816,4250,4135,2340,10725
2,5,4,4,7,1,5543,345,428,374,1147
3,6,0,1,6,4,5423,449,454,402,1305
2,6,0,4,2,0,4527,645,672,514,1831
2,5,6,1,4,7,349,4646,4675,2561,11882
2,5,6,6,0,1,4130,1025,1139,842,3006
3,0,2,0,6,2,3255,528,581,458,1567
5,2,4,4,5,7,705,7938,8391,3749,20078
4,5,6,6,0,1,6337,729,615,474,1818
2,1,6,6,0,1,3306,1437,1240,955,3632
7,6,4,1,6,4,9513,670,475,467,1612
2,2,4,6,5,6,1984,1905,1929,1299,5133
7,2,2,0,7,3,6603,410,432,357,1199
0,5,2,2,0,4,2181,1175,1113,842,3130
4,5,6,6,0,5,4012,876,907,732,2515
7,0,2,0,7,6,2170,1956,1927,1360,5243
2,5,5,0,2,0,3191,543,693,525,1761
6,7,5,3,1,6,2238,4590,4527,2422,11539
3,7,4,4,6,2,7290,519,419,359,1297
3,7,4,4,2,2,5972,580,766,515,1861
7,0,0,1,6,4,5790,429,453,399,1281
1,6,7,0,6,7,448,7294,7275,3442,18011
6,1,4,4,2,6,1599,1255,1398,982,3635
5,1,4,1,7,6,1464,2328,2307,1522,6157
2,6,0,6,2,2,4771,723,841,516,2080
5,2,2,4,7,7,754,19429,19706,7660,46795
3,3,3,3,3,3,3435,530,537,412,1479
3,3,5,3,7,7,507,15837,16161,6289,38287
2,5,5,4,5,4,3920,526,442,417,1385
2,5,5,5,5,4,4144,506,472,406,1384
7,6,2,3,4,6,2662,1659,1620,1179,4458
2,5,5,5,4,4,3820,627,536,490,1653
2,4,7,1,1,6,635,2393,2508,1627,6528
4,5,2,2,0,5,2915,902,887,664,2453
0,4,7,0,2,7,188,4128,3998,2309,10435
1,2,4,6,0,0,2999,1264,1448,930,3642
7,6,0,0,6,4,9480,459,400,392,1251
6,0,0,6,2,6,1993,1905,1957,1325,5187
3,1,4,1,6,6,941,1980,1976,1392,5348
3,2,1,4,2,0,3771,658,704,503,1865
7,7,4,7,4,6,3722,4629,4790,2499,11918
1,4,1,4,2,4,2280,1024,920,702,2646
6,5,2,4,7,7,1080,20038,19875,7827,47740
3,7,1,6,6,2,8146,537,364,392,1293
5,6,1,4,3,6,1971,2482,2468,1562,6512
7,6,0,5,7,7,1565,20794,20606,8202,49602
0,0,1,0,2,0,1314,865,1142,796,2803
7,0,2,3,4,6,2194,1310,1128,943,3381
7,6,0,1,6,4,9510,419,380,386,1185
6,5,5,5,5,4,8468,523,548,404,1475
3,1,4,3,6,6,1258,5071,5235,2742,13048
1,6,1,4,2,6,1149,4325,4430,2457,11212
1,2,4,1,4,6,670,1690,1664,1222,4576
1,2,4,3,4,6,888,1159,1325,1073,3557
6,3,4,4,2,6,1772,1467,1494,1076,4037
2,4,2,2,7,7,361,13504,13197,5273,31974
6,1,1,6,6,6,2656,2003,1929,1356,5288
3,4,2,2,7,7,505,14904,15382,5821,36107
3,6,1,4,2,6,1430,3590,3542,2125,9257
0,6,3,6,1,2,3848,1293,1159,843,3295
7,7,4,1,6,4,10081,441,418,373,1232
1,2,0,3,4,6,983,1449,1580,1104,4133
