timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1507484276293,193,13 /new-blog-19.html,200,OK,View Blog 3-4,text,true,,12837,7,10,193,0
1507484275508,1271,12 /accounts/login,200,OK,View Blog 3-5,text,true,,12838,7,10,538,0
1507484274054,2713,9 /admin/post/edit/,200,OK,Edit Blog 2-2,text,true,,36610,2,10,759,0
1507484276653,331,14 /,200,OK,View Blog 3-2,text,true,,12037,7,10,331,0
1507484276595,531,12 /accounts/login,200,OK,View Blog 3-1,text,true,,12838,7,10,185,0
1507484276779,620,13 /new-blog-26.html,200,OK,View Blog 3-5,text,true,,12845,7,10,620,0
1507484277293,154,14 /,200,OK,View Blog 3-4,text,true,,12037,7,10,154,0
1507484274088,3446,7 /accounts/login,200,OK,Edit Blog 2-1,text,true,,15009,2,10,2679,0
1507484277595,161,13 /new-blog-83.html,200,OK,View Blog 3-1,text,true,,12847,7,10,161,0
1507484277653,217,11 /accounts/login,200,OK,View Blog 3-2,text,true,,6562,7,10,217,0
1507484276047,1955,4 /admin/post/new/,200,OK,Add Blog 1-1,text,true,,31480,1,10,1955,0
1507484276751,1609,14 /,200,OK,View Blog 3-3,text,true,,12037,7,10,1608,0
1507484277780,924,14 /,200,OK,View Blog 3-5,text,true,,12044,7,10,924,0
1507484277535,1170,8 /admin/post/,200,OK,Edit Blog 2-1,text,true,,79072,2,10,887,0
1507484278293,398,11 /accounts/login,200,OK,View Blog 3-4,text,true,,6562,7,10,398,0
1507484278360,502,11 /accounts/login,200,OK,View Blog 3-3,text,true,,6562,7,10,501,0
1507484276262,2642,12 /accounts/login,200,OK,View Blog 3-6,text,true,,12846,7,10,302,0
1507484278595,412,14 /,200,OK,View Blog 3-1,text,true,,12044,7,10,412,0
1507484278904,335,13 /new-blog-77.html,200,OK,View Blog 3-6,text,true,,12845,7,10,335,0
1507484276727,2512,12 /accounts/login,200,OK,View Blog 3-7,text,true,,12850,7,10,200,0
1507484278780,591,11 /accounts/login,200,OK,View Blog 3-5,text,true,,6559,7,10,591,0
1507484279240,354,13 /new-blog-28.html,200,OK,View Blog 3-7,text,true,,12853,7,10,354,0
1507484276802,3058,10 /admin/post/edit/?id=59caa78d476a6763c6d27784&url=%2Fadmin%2Fpost%2F,200,OK,Edit Blog 2-2,text,true,,80203,2,10,868,0
1507484278706,1195,9 /admin/post/edit/,200,OK,Edit Blog 2-1,text,true,,36610,2,10,1195,0
1507484279293,870,12 /accounts/login,200,OK,View Blog 3-4,text,true,,12846,7,10,395,0
1507484278653,1660,12 /accounts/login,200,OK,View Blog 3-2,text,true,,12849,7,10,1206,0
1507484279780,823,12 /accounts/login,200,OK,View Blog 3-5,text,true,,12846,7,10,249,0
1507484278026,2675,5 /admin/post/new/?url=%2Fadmin%2Fpost%2F,200,OK,Add Blog 1-1,text,true,,80205,1,10,290,0
1507484280314,583,13 /new-blog-119.html,200,OK,View Blog 3-2,text,true,,12857,7,10,583,0
1507484280293,889,13 /new-blog-124.html,200,OK,View Blog 3-4,text,true,,12857,7,10,889,0
1507484280780,404,13 /new-blog-94.html,200,OK,View Blog 3-5,text,true,,12841,7,10,404,0
1507484279360,1886,12 /accounts/login,200,OK,View Blog 3-3,text,true,,12847,7,10,1336,0
1507484280702,594,1 /admin/,200,OK,Add Blog 1-1,text,true,,7029,1,10,209,0
1507484281293,279,14 /,200,OK,View Blog 3-4,text,true,,12044,7,10,279,0
1507484279905,1707,14 /,200,OK,View Blog 3-6,text,true,,12044,7,10,1707,0
1507484281246,443,13 /new-blog-62.html,200,OK,View Blog 3-3,text,true,,12847,7,10,443,0
1507484279595,2116,11 /accounts/login,200,OK,View Blog 3-1,text,true,,6562,7,10,2116,0
1507484281316,472,14 /,200,OK,View Blog 3-2,text,true,,12044,7,10,472,0
1507484281613,174,11 /accounts/login,200,OK,View Blog 3-6,text,true,,6562,7,10,174,0
1507484279861,1942,6 /admin/,200,OK,Edit Blog 2-2,text,true,,7029,2,10,311,0
1507484281780,217,14 /,200,OK,View Blog 3-5,text,true,,12044,7,10,217,0
1507484281723,590,12 /accounts/login,200,OK,View Blog 3-1,text,true,,12847,7,10,233,0
1507484281702,638,2 /accounts/login,200,OK,Add Blog 1-1,text,true,,15015,1,10,391,0
1507484279924,2426,10 /admin/post/edit/?id=59caa799476a6763c6d2778c&url=%2Fadmin%2Fpost%2F,200,OK,Edit Blog 2-1,text,true,,80197,2,10,554,0
1507484282314,82,11 /accounts/login,200,OK,View Blog 3-2,text,true,,6559,7,10,82,0
