time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
0,0.0,83013632,545423360,50315264,165314560
10,3.7,46944256,548577280,13783040,168468480
20,4.8,47562752,549625856,13746176,169517056
30,4.1,47767552,549625856,13922304,169517056
40,4.6,60452864,549625856,26476544,169517056
50,4.1,62185472,549625856,27697152,169517056
60,4.2,61874176,550674432,26959872,170565632
70,4.1,60993536,550674432,26083328,170565632
80,4.4,62869504,550674432,27619328,170565632
90,4.1,65126400,550674432,29937664,170565632
100,4.3,65445888,550674432,30076928,170565632
110,4.0,65634304,550674432,30175232,170565632
120,4.3,64765952,550674432,29356032,170565632
130,3.8,65458176,550674432,29646848,170565632
140,4.2,61071360,550674432,25329664,170565632
150,4.0,66207744,551723008,30142464,171614208
160,4.6,64024576,551723008,28155904,171614208
170,3.8,66195456,551723008,30068736,171614208
180,4.3,67325952,551723008,31191040,171614208
190,4.0,65323008,551723008,29159424,171614208
200,4.4,64823296,551723008,28721152,171614208
210,4.2,67174400,551723008,30883840,171614208
220,4.2,67977216,551723008,31571968,171614208
230,4.1,65949696,551723008,29646848,171614208
240,4.4,67117056,551723008,30752768,171614208
250,4.3,68624384,551723008,32190464,171614208
260,4.1,66879488,551723008,30531584,171614208
270,4.1,67551232,551723008,31170560,171614208
280,4.3,62234624,551723008,25899008,171614208
290,4.2,60555264,551723008,24289280,171614208
300,4.5,64712704,551723008,28368896,171614208
310,4.2,64118784,551723008,27635712,171614208
320,4.6,62406656,551723008,25923584,171614208
330,4.2,65392640,551723008,28782592,171614208
340,4.4,61386752,551723008,24891392,171614208
350,4.0,62824448,551723008,26296320,171614208
360,4.3,63418368,551723008,26873856,171614208
370,4.2,64983040,551723008,28434432,171614208
380,4.5,61808640,551723008,25280512,171614208
390,4.0,65740800,551723008,29114368,171614208
400,4.4,67473408,551723008,30580736,171614208
410,4.2,65126400,551723008,28225536,171614208
420,4.5,64319488,551723008,27484160,171614208
430,4.4,66760704,551723008,29724672,171614208
440,4.6,65769472,551723008,28827648,171614208
450,4.2,62238720,551723008,25210880,171614208
460,4.6,65507328,551723008,28585984,171614208
470,4.2,65773568,551723008,28786688,171614208
480,4.5,65941504,551723008,28884992,171614208
490,4.4,67600384,552771584,30564352,172662784
500,4.4,65585152,552771584,28348416,172662784
510,4.2,66543616,552771584,29282304,172662784
520,4.8,64495616,552771584,27222016,172662784
530,4.5,66035712,552771584,28495872,172662784
540,4.5,69226496,552771584,31682560,172662784
550,4.4,66080768,552771584,28545024,172662784
560,4.5,65261568,552771584,27680768,172662784
570,4.5,70287360,552771584,32456704,172662784
580,4.8,63840256,552771584,26083328,172662784
590,4.4,63664128,552771584,25862144,172662784
600,4.7,65495040,552771584,27561984,172662784
610,4.6,66084864,552771584,28229632,172662784
620,4.7,68198400,552771584,30195712,172662784
630,4.7,65908736,552771584,28037120,172662784
640,4.7,65253376,552771584,27262976,172662784
650,4.6,66252800,552771584,28311552,172662784
660,4.9,65826816,552771584,27901952,172662784
670,4.5,65703936,552771584,27762688,172662784
680,4.7,65093632,552771584,27144192,172662784
690,4.5,65413120,552771584,27459584,172662784
700,4.9,68980736,552771584,30932992,172662784
710,4.8,66928640,552771584,28995584,172662784
720,4.8,72101888,552771584,34197504,172662784
730,4.7,69554176,552771584,31514624,172662784
740,4.8,70037504,552771584,32014336,172662784
750,4.3,69517312,552771584,31465472,172662784
760,4.9,70963200,552771584,32960512,172662784
770,4.2,69599232,552771584,31506432,172662784
780,4.5,69222400,552771584,31113216,172662784
790,4.5,68198400,553820160,30081024,173711360
800,5.0,70774784,553820160,32604160,173711360
810,4.6,69877760,553820160,31641600,173711360
820,4.7,74334208,553820160,36085760,173711360
830,4.8,71405568,553820160,33222656,173711360
840,4.9,69214208,553820160,30887936,173711360
850,4.6,69611520,553820160,31338496,173711360
860,5.2,73142272,553820160,34828288,173711360
870,4.8,72425472,553820160,34091008,173711360
880,5.0,69308416,553820160,30978048,173711360
890,4.8,65183744,553820160,26836992,173711360
900,5.0,68259840,553820160,29839360,173711360
910,4.9,71979008,553820160,33591296,173711360
920,5.1,68214784,553820160,29888512,173711360
930,4.5,67170304,553820160,28848128,173711360
940,4.8,69840896,553820160,31379456,173711360
950,4.7,70238208,553820160,31555584,173711360
960,4.7,71155712,553820160,32542720,173711360
970,4.6,68042752,553820160,29532160,173711360
980,5.1,71884800,553820160,33116160,173711360
990,4.8,69238784,553820160,30609408,173711360
1000,5.1,70287360,553820160,31465472,173711360
1010,4.7,69443584,553820160,30613504,173711360
1020,4.9,69185536,553820160,30412800,173711360
1030,4.6,65474560,553820160,26779648,173711360
1040,5.3,70856704,553820160,32006144,173711360
1050,5.2,72212480,553820160,33202176,173711360
1060,5.1,72036352,553820160,33034240,173711360
1070,4.9,73449472,553820160,34344960,173711360
1080,5.1,70598656,553820160,31670272,173711360
