Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,773615616.0,0.0,43134976.0
1,154.3,962945024.0,0.0,98291712.0
2,160.0,1039450112.0,2.0,99250176.0
3,154.9,1053507584.0,4.1,100143104.0
4,117.1,1064701952.0,4.7,102227968.0
5,77.4,1105821696.0,2.7,106860544.0
6,55.5,1133469696.0,1.9,106860544.0
7,77.9,1281941504.0,2.2,106860544.0
8,63.4,1295945728.0,3.7,108589056.0
9,63.3,1298657280.0,3.9,109154304.0
10,39.8,1301069824.0,2.3,109154304.0
11,37.4,1307566080.0,1.6,109154304.0
12,61.5,1336877056.0,2.0,110145536.0
13,44.2,1358704640.0,3.7,110145536.0
14,65.5,1371967488.0,4.4,110145536.0
15,30.9,1374199808.0,2.3,110145536.0
16,35.6,1380696064.0,1.4,110145536.0
17,42.1,1483808768.0,1.9,110145536.0
18,40.5,1485590528.0,4.0,110145536.0
19,58.5,1520779264.0,4.2,110145536.0
20,28.6,1521893376.0,2.3,110977024.0
21,38.2,1525137408.0,1.4,111521792.0
22,38.4,1554841600.0,2.5,111521792.0
23,43.6,1571954688.0,4.6,113856512.0
24,49.8,1572302848.0,3.7,113856512.0
25,23.9,1573171200.0,2.3,114671616.0
26,36.3,1574141952.0,1.6,114671616.0
27,42.2,1631117312.0,2.7,114675712.0
28,37.9,1636556800.0,4.2,114675712.0
29,39.3,1646620672.0,3.7,115499008.0
30,23.1,1651302400.0,2.1,115499008.0
31,30.2,1652670464.0,1.7,116051968.0
32,38.5,1655193600.0,2.9,116051968.0
33,33.1,1663135744.0,4.0,116051968.0
34,37.8,1721982976.0,3.6,116051968.0
35,19.2,1737379840.0,2.2,116051968.0
36,29.0,1738223616.0,1.6,119242752.0
37,34.1,1739640832.0,3.1,119242752.0
38,33.5,1768316928.0,3.9,119869440.0
39,36.8,1795092480.0,3.2,120446976.0
40,16.8,1795121152.0,1.9,120807424.0
41,33.0,1800286208.0,1.7,121815040.0
42,32.9,1801089024.0,3.6,121815040.0
43,31.5,1821908992.0,4.1,121815040.0
44,26.0,1849782272.0,3.0,121815040.0
45,19.3,1871966208.0,1.9,121815040.0
46,34.6,1907134464.0,1.9,122400768.0
47,26.3,1960402944.0,3.9,123473920.0
48,31.7,1999343616.0,3.9,123473920.0
49,26.3,2000330752.0,3.1,123473920.0
50,16.2,2005217280.0,1.8,123473920.0
51,44.3,2013896704.0,2.2,123478016.0
52,24.6,2018500608.0,4.3,123478016.0
53,25.8,2043686912.0,3.8,123478016.0
54,26.6,2064904192.0,2.6,123478016.0
55,19.8,2064465920.0,1.7,123478016.0
56,38.3,2065268736.0,1.9,123478016.0
57,22.7,2065563648.0,4.4,123478016.0
58,33.0,2083229696.0,4.2,123478016.0
59,15.8,2083565568.0,2.2,123478016.0
60,23.1,2084118528.0,0.1,112033792.0
61,30.0,2084216832.0,1.9,108851200.0
62,24.7,2084499456.0,4.2,108851200.0
63,26.5,2084835328.0,4.0,110919680.0
64,18.7,2124328960.0,2.1,114110464.0
65,25.6,2125692928.0,1.6,114110464.0
66,21.6,2126274560.0,2.2,114556928.0
67,21.3,2161197056.0,4.0,114556928.0
68,28.3,2224201728.0,3.9,116056064.0
69,13.7,2224238592.0,2.2,116391936.0
70,24.2,2224259072.0,1.5,116391936.0
71,21.0,2224115712.0,2.5,116391936.0
72,31.4,2236297216.0,4.4,117125120.0
73,25.2,2236866560.0,3.5,117125120.0
74,13.3,2237460480.0,2.1,117485568.0
75,26.1,2252795904.0,1.5,117485568.0
76,23.3,2254807040.0,2.5,117485568.0
77,24.1,2255732736.0,4.2,117485568.0
78,26.7,2280042496.0,3.6,118390784.0
79,12.0,2291204096.0,1.6,118390784.0
80,26.8,2313596928.0,1.8,118390784.0
