Time, W_CPU, W_MEM, D_CPU, D_MEM
120,28.4,3043647488.0,0.4,110542848.0
121,19.5,3044605952.0,4.0,115097600.0
122,21.0,3044876288.0,4.3,116510720.0
123,13.3,3067011072.0,2.8,118071296.0
124,20.9,3088310272.0,1.6,114368512.0
125,26.1,3084705792.0,2.4,114704384.0
126,21.7,3085254656.0,4.2,114704384.0
127,21.2,3085778944.0,4.0,114704384.0
128,14.2,3089178624.0,2.9,114704384.0
129,14.8,3090149376.0,1.6,114704384.0
130,21.5,3091210240.0,2.4,114704384.0
131,20.8,3091464192.0,4.1,115253248.0
132,27.1,3123195904.0,4.0,115253248.0
133,12.9,3123482624.0,2.8,115253248.0
134,20.3,3129380864.0,1.6,115253248.0
135,16.7,3130724352.0,2.1,117248000.0
136,21.2,3131072512.0,4.2,117784576.0
137,20.3,3131191296.0,3.9,117784576.0
138,13.7,3131293696.0,2.4,117788672.0
139,21.8,3150553088.0,1.5,118190080.0
140,19.5,3151372288.0,2.8,118190080.0
141,20.3,3151429632.0,4.4,118190080.0
142,18.0,3151773696.0,3.5,119095296.0
143,12.1,3152097280.0,2.4,119906304.0
144,16.9,3152420864.0,1.6,119906304.0
145,20.6,3177906176.0,2.9,119906304.0
146,25.1,3204210688.0,4.5,119906304.0
147,21.0,3204820992.0,3.5,120721408.0
148,10.9,3205705728.0,1.9,120721408.0
149,23.1,3234164736.0,1.6,120721408.0
150,15.5,3234177024.0,3.2,120725504.0
151,21.7,3234447360.0,4.1,120725504.0
152,19.4,3235041280.0,3.6,121008128.0
153,9.7,3235082240.0,1.6,121008128.0
154,29.1,3285901312.0,1.9,121847808.0
155,18.1,3285901312.0,3.6,121847808.0
156,21.5,3287060480.0,4.1,121847808.0
157,19.2,3294633984.0,3.2,121847808.0
158,11.9,3295195136.0,1.8,121847808.0
159,20.6,3314425856.0,2.3,122286080.0
160,24.7,3321233408.0,3.9,122286080.0
161,20.2,3349065728.0,4.1,122286080.0
162,21.2,3369627648.0,2.9,122949632.0
163,12.7,3369959424.0,1.7,122949632.0
164,20.2,3370541056.0,2.5,123355136.0
165,18.2,3370848256.0,4.0,123355136.0
166,29.1,3408465920.0,4.4,123699200.0
167,12.6,3409063936.0,2.7,123699200.0
168,14.7,3409383424.0,1.5,123699200.0
169,16.3,3409657856.0,2.4,124792832.0
170,24.8,3410501632.0,3.9,124792832.0
171,28.3,3438350336.0,4.4,124792832.0
172,13.3,3438641152.0,2.6,125304832.0
173,14.8,3438923776.0,1.5,125304832.0
174,14.1,3439255552.0,2.1,125304832.0
175,19.2,3439558656.0,3.8,125304832.0
176,24.3,3472564224.0,3.8,125304832.0
177,16.4,3475025920.0,2.7,125661184.0
178,16.9,3476086784.0,1.6,125661184.0
179,11.9,3501260800.0,2.3,125661184.0
180,24.1,3522056192.0,0.1,113373184.0
181,19.4,3522629632.0,3.9,118525952.0
182,12.9,3573796864.0,2.4,119246848.0
183,23.8,3576516608.0,1.6,119246848.0
184,12.2,3576807424.0,2.5,119246848.0
185,22.5,3578785792.0,3.5,115617792.0
186,18.8,3579043840.0,3.6,116797440.0
187,11.9,3579301888.0,2.3,116797440.0
188,26.2,3654193152.0,1.5,116797440.0
189,18.5,3655102464.0,3.1,117354496.0
190,22.9,3655417856.0,4.3,117354496.0
191,18.9,3655675904.0,3.9,117522432.0
192,11.3,3656871936.0,2.2,117653504.0
193,17.3,3657162752.0,1.8,117653504.0
194,15.0,3657420800.0,3.3,117653504.0
195,20.8,3756068864.0,4.4,118300672.0
196,22.9,3816349696.0,3.2,118603776.0
197,15.7,3820519424.0,2.0,118603776.0
198,18.0,3821080576.0,1.7,118697984.0
199,17.6,3821228032.0,3.4,119615488.0
200,23.2,3822043136.0,4.7,119754752.0
201,15.9,3822043136.0,2.9,121364480.0
202,10.5,3822043136.0,1.7,121364480.0
203,25.9,3826888704.0,2.2,121364480.0
204,18.0,3826888704.0,3.8,121364480.0
205,25.5,3826888704.0,4.1,121364480.0
206,15.0,3828514816.0,3.0,121364480.0
207,10.4,3828514816.0,1.6,121364480.0
208,18.3,3828514816.0,2.1,122130432.0
209,20.5,3830882304.0,4.1,122130432.0
210,29.7,3884679168.0,4.2,122130432.0
211,23.4,3896836096.0,2.9,122130432.0
212,13.6,3896836096.0,1.6,122130432.0
213,17.2,3913596928.0,2.5,122130432.0
214,24.1,3929006080.0,4.2,122867712.0
215,20.1,3929010176.0,3.9,122871808.0
216,12.6,3929010176.0,2.8,122871808.0
217,17.2,3943608320.0,1.6,122871808.0
218,19.9,3943608320.0,2.1,122871808.0
219,19.2,3943612416.0,4.3,122871808.0
220,19.4,3944964096.0,4.2,122871808.0
221,12.0,3944964096.0,2.3,123793408.0
222,18.3,3956588544.0,1.7,123793408.0
223,11.0,3972104192.0,1.9,123793408.0
224,23.3,3998040064.0,3.8,124383232.0
225,19.9,4071534592.0,4.1,125722624.0
226,11.1,4130185216.0,2.4,128790528.0
227,25.2,4179124224.0,1.4,128790528.0
228,16.3,4179361792.0,2.8,129126400.0
229,20.3,4179611648.0,4.2,129126400.0
230,19.2,4179857408.0,3.9,129126400.0
231,12.1,4180148224.0,2.1,129126400.0
232,20.8,4196360192.0,1.9,129126400.0
233,16.3,4196618240.0,3.0,129126400.0
234,21.2,4196904960.0,4.3,129126400.0
235,17.9,4197167104.0,3.4,129880064.0
236,15.8,4197949440.0,1.9,129880064.0
237,21.7,4188807168.0,1.7,130412544.0
238,14.1,4193419264.0,2.9,130412544.0
239,22.0,4208005120.0,4.8,130412544.0
240,15.8,4214902784.0,0.0,120348672.0
241,10.5,4239761408.0,2.0,120348672.0
242,25.8,4278435840.0,1.9,122048512.0
243,15.8,4278693888.0,3.4,122048512.0
244,18.4,4279754752.0,4.1,122048512.0
245,16.4,4333199360.0,3.2,114495488.0
246,18.0,4337053696.0,1.7,119062528.0
247,19.0,4337307648.0,2.1,119062528.0
248,17.1,4341088256.0,3.9,120455168.0
249,21.4,4347326464.0,4.2,120455168.0
250,13.5,4347568128.0,2.9,120455168.0
251,10.9,4347834368.0,1.7,120459264.0
252,19.6,4348088320.0,2.1,120459264.0
253,30.1,4343357440.0,3.5,120459264.0
254,21.9,4344430592.0,4.2,123539456.0
255,14.6,4344684544.0,3.6,123539456.0
256,13.8,4344954880.0,1.2,123539456.0
257,15.5,4345233408.0,2.4,124035072.0
258,18.0,4345753600.0,4.2,124035072.0
259,22.8,4351692800.0,4.5,125247488.0
260,12.3,4384657408.0,2.5,125247488.0
261,23.8,4455784448.0,1.8,125640704.0
262,16.9,4456054784.0,2.3,125640704.0
263,20.8,4456329216.0,4.4,125640704.0
264,24.9,4477440000.0,4.2,126615552.0
265,13.4,4477710336.0,2.4,126615552.0
266,16.3,4477984768.0,1.2,126615552.0
267,12.9,4478246912.0,2.5,126615552.0
268,19.4,4478562304.0,4.2,126615552.0
269,20.9,4476403712.0,4.3,128176128.0
270,12.7,4476674048.0,2.6,128176128.0
271,19.9,4495597568.0,1.5,128176128.0
272,19.3,4522967040.0,2.6,128176128.0
273,29.9,4529664000.0,4.1,128176128.0
274,17.7,4529975296.0,3.6,128176128.0
275,12.3,4530298880.0,2.5,128176128.0
276,17.3,4533235712.0,1.6,128176128.0
277,12.5,4533792768.0,2.4,128176128.0
278,19.9,4535889920.0,4.5,128176128.0
279,15.9,4551823360.0,3.7,128176128.0
280,12.2,4575096832.0,2.2,128176128.0
281,20.9,4616204288.0,1.5,128180224.0
282,16.7,4616257536.0,3.1,128180224.0
283,30.1,4621185024.0,4.6,128782336.0
284,16.4,4621312000.0,3.5,129949696.0
285,10.0,4621438976.0,1.8,129949696.0
286,18.4,4621467648.0,2.0,129949696.0
287,15.8,4621467648.0,3.5,129949696.0
288,19.1,4621467648.0,4.0,129949696.0
289,14.7,4621467648.0,3.1,130412544.0
290,9.9,4621467648.0,1.7,130412544.0
291,19.8,4621467648.0,2.2,130412544.0
292,35.2,4638765056.0,3.8,130412544.0
293,21.1,4638765056.0,4.4,130412544.0
294,16.6,4638765056.0,2.9,132243456.0
295,11.3,4638765056.0,1.6,132243456.0
296,19.2,4638765056.0,2.6,132243456.0
297,16.3,4638773248.0,4.0,132775936.0
298,18.4,4638773248.0,4.0,132775936.0
299,13.3,4638773248.0,2.6,132775936.0
