obj_1,obj_2,obj_3,obj_4
59.18133333,1306878676,0.413666667,96492932
47.95666667,3516277091,0.41,94988218.08
48.049,3953802595,0.401666667,98468112.03
44.27466667,3371010785,0.399333333,99716068.38
,,,
0,0,0,0
0.18966566,-1.690591833,0.00886382,-0.015594033
0.188105484,-2.02537846,0.029008864,0.020469686
0.251881224,-1.579436675,0.034649476,0.033402824
