Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,665481216.0,0.0,118104064.0
1,277.4,888971264.0,0.1,123469824.0
2,283.2,987283456.0,0.4,106582016.0
3,208.2,1049153536.0,0.3,105287680.0
4,276.4,1141362688.0,0.2,121450496.0
5,270.4,1236307968.0,0.4,127696896.0
6,190.2,1304268800.0,0.4,114294784.0
7,154.6,1375772672.0,0.5,127614976.0
8,233.2,1440776192.0,0.6,101093376.0
9,211.0,1517834240.0,0.6,101060608.0
10,109.8,1553453056.0,0.4,126578688.0
11,197.3,1634590720.0,0.6,130236416.0
12,237.0,1683849216.0,0.5,127225856.0
13,205.5,1714581504.0,0.7,114118656.0
14,101.0,1717284864.0,0.4,138481664.0
15,156.9,1798385664.0,0.6,100483072.0
16,133.7,1845641216.0,0.7,129355776.0
17,135.6,1903845376.0,0.6,100597760.0
18,129.2,1948606464.0,0.6,113418240.0
19,131.9,1984802816.0,0.6,86315008.0
20,106.2,2028204032.0,0.6,99246080.0
21,119.1,2080813056.0,0.7,117166080.0
22,106.0,2125848576.0,0.4,86315008.0
23,100.7,2153762816.0,0.7,99340288.0
24,95.6,2192703488.0,0.8,99340288.0
25,102.5,2200846336.0,0.5,112345088.0
26,96.5,2223153152.0,0.7,99340288.0
27,88.1,2246053888.0,0.6,114294784.0
28,75.6,2262249472.0,0.5,86319104.0
29,105.8,2279399424.0,0.6,101072896.0
30,84.7,2299469824.0,0.7,86319104.0
31,87.1,2346057728.0,0.6,86319104.0
32,89.4,2375667712.0,0.5,112320512.0
33,86.3,2436665344.0,0.6,86319104.0
34,73.3,2460000256.0,0.6,86319104.0
35,81.6,2471096320.0,0.6,99389440.0
36,78.1,2505162752.0,0.7,99389440.0
37,76.3,2493751296.0,0.7,86319104.0
38,94.7,2523762688.0,0.6,86319104.0
39,68.7,2546233344.0,0.6,86319104.0
40,77.2,2560151552.0,0.6,86319104.0
41,70.6,2567110656.0,0.7,86319104.0
42,67.9,2561171456.0,0.6,86319104.0
43,67.9,2580221952.0,0.5,86319104.0
44,77.9,2592235520.0,0.7,86319104.0
45,64.6,2639503360.0,0.6,101007360.0
46,70.3,2639364096.0,0.7,86319104.0
47,75.2,2654400512.0,0.5,86323200.0
48,72.7,2654523392.0,0.5,86323200.0
49,63.7,2654818304.0,0.6,86323200.0
50,73.1,2647035904.0,0.7,86323200.0
51,71.0,2661511168.0,0.6,86323200.0
52,74.0,2674896896.0,0.5,100945920.0
53,63.2,2678239232.0,0.7,99471360.0
54,66.0,2681622528.0,0.5,86323200.0
55,69.6,2722877440.0,0.6,86323200.0
56,65.0,2726301696.0,0.7,86323200.0
57,70.5,2729631744.0,0.6,86323200.0
58,67.7,2732195840.0,0.5,86323200.0
59,69.0,2731945984.0,0.6,86323200.0
60,62.6,2735058944.0,0.5,86323200.0
61,55.0,2747797504.0,0.6,99405824.0
62,71.1,2774917120.0,0.6,99487744.0
63,69.1,2786041856.0,0.6,86323200.0
64,60.4,2794774528.0,0.5,86323200.0
65,64.5,2818502656.0,0.8,86323200.0
66,61.5,2807177216.0,0.8,86323200.0
67,59.7,2809335808.0,0.5,86323200.0
68,68.4,2818928640.0,0.6,101076992.0
69,64.5,2819649536.0,0.6,86323200.0
70,68.6,2826805248.0,0.6,86323200.0
71,75.3,2847375360.0,0.8,89686016.0
72,60.0,2908135424.0,0.4,89686016.0
73,54.4,2912481280.0,0.7,89686016.0
74,64.7,2935726080.0,0.5,89686016.0
75,55.0,2926469120.0,0.5,89686016.0
76,61.6,2945593344.0,0.7,89686016.0
77,63.3,2948046848.0,0.7,89690112.0
78,59.5,2955653120.0,0.5,103043072.0
79,57.4,2960121856.0,0.7,120123392.0
80,64.4,2968723456.0,0.6,89690112.0
81,54.1,2973794304.0,0.5,105209856.0
82,61.9,2970705920.0,0.6,89690112.0
83,54.3,2997751808.0,0.6,133435392.0
84,53.1,2999648256.0,0.5,89690112.0
85,58.6,3004928000.0,0.7,104574976.0
86,60.1,3005911040.0,0.6,105668608.0
87,54.8,3006320640.0,0.6,118644736.0
88,52.0,3008876544.0,0.5,89690112.0
89,57.7,3011338240.0,0.6,89690112.0
90,60.2,3027582976.0,0.5,89690112.0
91,52.0,3028107264.0,0.6,89690112.0
92,52.9,3031121920.0,0.6,89690112.0
93,53.2,3043307520.0,0.6,89690112.0
94,58.3,3067453440.0,0.5,89690112.0
95,47.7,3068747776.0,0.6,89690112.0
96,54.9,3072151552.0,0.9,105234432.0
97,52.0,3069767680.0,0.6,105414656.0
98,55.2,3084361728.0,0.6,89690112.0
99,58.0,3074859008.0,0.6,89690112.0
100,50.0,3076571136.0,0.5,89690112.0
101,52.0,3075825664.0,0.5,89694208.0
102,53.4,3078479872.0,0.7,89694208.0
103,56.3,3100844032.0,0.6,89694208.0
