"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",1,1,1,1,1,1,1,1,1,1,1,1
"2",3.69525236121588e-35,8.02262564840889e-30,2.12280275398611e-18,5.4666146453998e-19,9.55121204137306e-30,2.89127127657776e-22,2.51245820121116e-34,3.48600386732263e-31,7.86346556652678e-33,4.25339167691931e-28,6.44856140637184e-36,9.27739936072828e-31
"3",2.34925040388201e-33,1.92631721767975e-21,4.45815656461648e-18,4.2911023862751e-25,7.85543794116058e-28,1.06621460657961e-19,1.35779412255802e-37,1.36624335790464e-37,7.79156017591245e-35,1.75609612958981e-27,4.52594746159701e-34,2.19882897347124e-27
"4",2.79637065943001e-32,1.61431100619887e-13,1.08197933051988e-18,3.10920156110008e-22,1.57109438522793e-30,8.04860567827531e-29,2.09584062689172e-35,4.9286193381992e-38,1.22599940057516e-37,6.53706939581673e-21,2.81059015883244e-38,2.34512278351539e-25
"5",0,0,0,0,0,0,0,0,0,0,0,0
"6",1.40946282423116e-18,0,-2.64599092177661e-18,3.64686185290579e-19,3.6835768810195e-18,9.24282352043893e-19,-2.74393499819873e-18,1.01463253308435e-18,4.2545900251952e-18,-1.03812358015487e-18,6.35161772714425e-19,2.55587331808878e-18
"7",0.904615384615385,0.832356770833333,0.652272727272727,0.663567493112948,0.845972222222222,0.724722222222222,0.9125,0.8675,0.891319444444444,0.819214876033058,0.919596354166667,0.840731399747793
"8",0.879935897435897,0.698046875,0.646005509641873,0.771280991735537,0.816597222222222,0.678263888888889,0.957083333333333,0.957083333333333,0.91763085399449,0.796963824289406,0.891025641025641,0.790479192938209
"9",0.86525641025641,0.541927083333333,0.657920110192837,0.722727272727273,0.857638888888889,0.831875,0.927430555555556,0.962986111111111,0.957638888888889,0.690944881889764,0.946987179487179,0.758701134930643
