Thu Feb 22 02:43:17 2018    ../cProfile_results/110101011000100111/cProfile.log

         563405820 function calls (546416936 primitive calls) in 5134.885 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
29904/24728 2190.847    0.073 2715.177    0.110 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   351037    9.701    0.000   58.994    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py:98(format_html)
   106641    9.222    0.000   19.871    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:759(_pq_fetch_tuples)
  1759317    9.141    0.000   86.372    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:600(get_foreign_related_value)
  1651333    9.137    0.000   11.783    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/threading.py:187(release)
  2010701    9.033    0.000   14.283    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:331(quote_name_unless_alias)
187715/23479    8.792    0.000  134.687    0.006 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:466(parse)
  1446618    8.456    0.000   10.695    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:533(extend_nodelist)
  4962179    8.447    0.000   13.079    0.000 {method 'decode' of 'str' objects}
  1812117    8.091    0.000   12.724    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:1476(_get_m2m_reverse_attr)
19417797/18879016    7.895    0.000  264.041    0.000 {len}
  1160725    7.463    0.000   33.787    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py:46(escape)
   351737    7.389    0.000  154.448    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1101(build_filter)
  1121910    7.337    0.000    8.676    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py:342(get_col)
1556921/8797    7.324    0.000   20.836    0.002 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/maxminddb/decoder.py:117(decode)
   386468    7.110    0.000   16.981    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1419(trim_joins)
  1652830    6.426    0.000    6.442    0.000 <builtin>/2.7/_weakrefset.py:70(__contains__)
1336427/1038949    6.262    0.000   48.911    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:348(compile)
  1224683    6.194    0.000    8.042    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/posixpath.py:82(split)
1598044/1581381    6.068    0.000  404.508    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:241(__iter__)
  1004250    5.780    0.000   50.762    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django_countries/__init__.py:156(<genexpr>)
   109109    5.624    0.000  882.798    0.008 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene_django/debug/sql/tracking.py:100(_record)
 12523747    5.499    0.000    5.499    0.000 {ord}
   269892    5.482    0.000    6.869    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/posixpath.py:61(join)
   322879    5.473    0.000    5.918    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:127(__init__)
   794466    5.454    0.000   11.336    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:164(__init__)
8575038/8574950    5.379    0.000    5.381    0.000 {issubclass}
  1751614    5.218    0.000   55.260    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:342(ugettext)
5382999/5056683    5.170    0.000    9.496    0.000 {setattr}
  1479034    5.158    0.000   11.666    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/manager.py:153(all)
   763634    5.115    0.000   10.679    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:890(join)
   699964    5.057    0.000   15.378    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:749(demote_joins)
  1613632    5.020    0.000    6.962    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:391(create_token)
   139897    4.908    0.000   18.165    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/pkg_resources/__init__.py:1546(_setup_prefix)
   730259    4.877    0.000   13.365    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:625(get_joining_columns)
    21509    4.864    0.000   12.715    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:423(tokenize)
   839289    4.851    0.000   12.054    0.000 <builtin>/2.7/abc.py:128(__instancecheck__)
  1309341    4.845    0.000   56.316    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/html.py:85(conditional_escape)
1010700/1010396    4.713    0.000   13.170    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/dispatch/dispatcher.py:168(send)
  1083483    4.706    0.000   24.350    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:661(get_path_info)
1284497/1272945    4.685    0.000   47.015    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:115(__text_cast)
  1504115    4.564    0.000  119.101    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:825(get_queryset)
  4210409    4.545    0.000    4.545    0.000 {method 'group' of 'SRE_Match' objects}
