db_0,1317
db_1,1409
db_2,2113
db_3,2183
db_4,2230
db_5,1428
db_6,1457
db_7,2157
db_8,2090
db_9,525
fortune_0,364
fortune_1,1412
fortune_2,2250
fortune_3,2300
fortune_4,2391
fortune_5,731
fortune_6,1617
fortune_7,2464
fortune_8,2265
fortune_9,737
json_0,433
json_1,1165
json_2,1222
json_3,1276
json_4,1394
json_5,888
json_6,884
json_7,1336
json_8,1267
json_9,380
plaintext_0,452
plaintext_1,1266
plaintext_2,1347
plaintext_3,1442
plaintext_4,1586
plaintext_5,1049
plaintext_6,1026
plaintext_7,1556
plaintext_8,1370
plaintext_9,448
query_0,511
query_1,1497
query_2,2189
query_3,2257
query_4,2424
query_5,812
query_6,1162
query_7,2303
query_8,2264
query_9,475
update_0,634
update_1,1711
update_2,2052
update_3,2431
update_4,2693
update_5,767
update_6,1120
update_7,2533
update_8,2512
update_9,457
