"","V1","V2","V3","V4"
"1",1,1,1,1
"2",1.40171420362003e-28,2.09190715943423e-12,1.50358952488017e-40,1.44763205127634e-40
"3",1.21071317194374e-40,0.256192427686651,1.50622352187248e-40,1.49084280090541e-40
"4",7.21708697426006e-39,6.87599354044695e-06,2.93632467683139e-40,1.48498175354908e-40
"5",0,0,0,0
"6",4.45616203834168e-18,-1.123379225777e-18,4.34500853830535e-18,-7.76890077712933e-18
"7",0.830379210507733,0.527222653767389,1,-1
"8",1,-0.085234093637455,1,-1
"9",0.97719087635054,-0.337405550455476,0.996257326459996,-1
