101110101001101011,11286,299,7.0,4455464960.0,1.2,133783552.0
101111100010000001,11358,299,14.3,4379209728.0,1.2,131104768.0
110100010100011111,1565,299,41.9,3857936384.0,1.4,130945024.0
001001010101011111,857,299,38.1,3873173504.0,1.1,130486272.0
001000010110000110,2191,299,25.1,3948236800.0,0.9,131907584.0
010001001001111010,6408,299,11.0,4398055424.0,0.9,130904064.0
010010001111010001,7484,299,17.5,4064387072.0,1.0,132345856.0
100001111110001010,7481,299,12.7,4094218240.0,1.0,132964352.0
101000100100001000,7860,299,8.7,4391940096.0,0.7,130908160.0
000110010110111101,5084,299,34.5,4291469312.0,1.8,130252800.0
001010100000011001,4167,299,15.5,4066529280.0,0.6,132694016.0
010001000010001011,3099,299,15.5,3959463936.0,0.7,131121152.0
100111000100011101,5717,299,20.7,3921735680.0,0.8,133226496.0
110010000100101011,9678,299,6.7,4499087360.0,1.0,131354624.0
110000010011111101,6194,299,26.6,4352475136.0,1.2,131022848.0
010000011011011011,4015,299,14.1,3940597760.0,0.8,132849664.0
100000101000011000,6500,299,13.1,4391534592.0,0.9,131125248.0
011000010001111011,5846,299,8.7,4347981824.0,0.7,131637248.0
100000101000111000,8561,299,12.7,4860940288.0,1.2,132612096.0
110110101001101011,12225,299,8.8,4511821824.0,1.8,131502080.0
010001100110010011,5530,299,16.7,4019937280.0,0.8,131461120.0
100000101000101000,7368,299,8.2,4476555264.0,0.7,131264512.0
000011111000101100,3257,299,14.4,3958448128.0,0.8,132493312.0
010001011011101100,4328,299,14.0,4053704704.0,0.8,131473408.0
011011011011011011,5934,299,8.8,4118347776.0,0.8,131375104.0
101101111010111011,10738,299,11.9,4495093760.0,1.3,129527808.0
111010110011111011,10425,299,9.7,4792029184.0,1.5,133009408.0
110101011000100111,1285,299,46.9,3949015040.0,1.7,131252224.0
110110111001101000,11238,299,19.8,4709040128.0,2.4,124452864.0
010001111001111010,6143,299,21.4,4424421376.0,1.4,131104768.0
110100011011001101,5388,299,12.8,3944460288.0,0.4,130330624.0
110000100000011011,7291,299,8.0,4352077824.0,0.8,132308992.0
111010001001111010,11503,299,14.5,5027340288.0,1.2,131096576.0
110111010110110101,8906,299,24.2,4192641024.0,1.3,132558848.0
010000000010000100,2479,299,20.5,3964518400.0,0.8,132263936.0
