Wed Feb 28 11:14:10 2018    ../cProfile_results/110100011011101101/cProfile.log

         358334954 function calls (346792878 primitive calls) in 914.792 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
20052/16830  395.610    0.020  480.180    0.029 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
     4970   57.715    0.012   57.715    0.012 {method 'poll' of 'select.epoll' objects}
    65104   17.297    0.000   30.815    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:677(_pq_execute)
4370751/4095258   16.357    0.000   34.212    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py:58(force_text)
     3908   14.572    0.004   14.597    0.004 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py:648(_execute_command)
  1017917   11.527    0.000   14.824    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:603(get_instance_value_for_fields)
    62968    9.171    0.000   12.005    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:759(_pq_fetch_tuples)
 30886404    9.087    0.000   10.897    0.000 {isinstance}
   710710    8.908    0.000   28.127    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:748(__init__)
 17660563    7.122    0.000    7.195    0.000 {hasattr}
  1256187    6.940    0.000   11.043    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/translation/trans_real.py:303(do_translate)
16021187/15313218    6.919    0.000   15.277    0.000 {getattr}
