Time, W_CPU, W_MEM, D_CPU, D_MEM
0,0.0,755388416.0,0.0,96358400.0
1,64.6,898088960.0,1.3,99758080.0
2,94.9,991449088.0,3.2,101396480.0
3,91.4,993816576.0,4.7,101634048.0
4,54.0,996843520.0,2.6,101642240.0
5,56.4,1000882176.0,2.1,102047744.0
6,64.9,1027915776.0,1.7,103206912.0
7,70.5,1051873280.0,3.5,103321600.0
8,65.3,1052602368.0,3.8,103403520.0
9,44.3,1053532160.0,2.3,104968192.0
10,45.8,1055731712.0,1.9,105164800.0
11,70.2,1097003008.0,2.2,105660416.0
12,61.1,1160155136.0,3.9,105795584.0
13,56.4,1163038720.0,3.6,105861120.0
14,49.7,1164402688.0,2.5,108113920.0
15,39.6,1167278080.0,1.7,108113920.0
16,62.0,1191428096.0,2.3,108113920.0
17,55.7,1234567168.0,4.1,108113920.0
18,60.2,1256251392.0,4.1,108609536.0
19,34.8,1256374272.0,1.9,109154304.0
20,45.0,1257271296.0,1.7,109154304.0
21,52.0,1259966464.0,3.0,109154304.0
22,52.2,1295732736.0,4.0,109154304.0
23,60.6,1324187648.0,4.2,110166016.0
24,39.4,1328017408.0,2.4,113033216.0
25,38.6,1328627712.0,1.7,115666944.0
26,45.5,1329438720.0,2.5,116191232.0
27,57.0,1330049024.0,4.6,116191232.0
28,53.0,1372033024.0,3.8,116191232.0
29,38.5,1372389376.0,2.4,116191232.0
30,39.9,1373507584.0,1.8,116191232.0
31,39.3,1374572544.0,2.8,116191232.0
32,54.2,1399201792.0,4.2,116191232.0
33,49.6,1420337152.0,3.9,116957184.0
34,33.5,1447141376.0,2.3,116957184.0
35,40.7,1447292928.0,1.8,116957184.0
36,35.9,1447907328.0,2.5,116957184.0
37,51.3,1480683520.0,4.3,118333440.0
38,51.3,1483190272.0,3.9,118333440.0
39,31.5,1492172800.0,1.9,118333440.0
40,37.6,1492004864.0,1.7,118333440.0
41,37.5,1492054016.0,3.4,118333440.0
42,50.9,1492914176.0,4.4,118333440.0
43,43.8,1540022272.0,3.4,120156160.0
44,31.3,1547853824.0,2.1,120156160.0
45,32.5,1547878400.0,1.8,120156160.0
46,43.1,1557106688.0,3.2,120156160.0
47,52.2,1575518208.0,4.6,120156160.0
48,37.9,1579610112.0,3.0,120156160.0
49,27.8,1598337024.0,1.8,120156160.0
50,45.6,1598279680.0,2.5,120705024.0
51,39.7,1598316544.0,3.6,120709120.0
52,46.3,1606160384.0,4.1,120709120.0
53,38.2,1653067776.0,2.9,121487360.0
54,28.9,1668440064.0,1.7,122368000.0
55,41.9,1668755456.0,2.6,122368000.0
56,38.1,1668829184.0,3.9,122368000.0
57,39.4,1681043456.0,3.8,123228160.0
58,31.4,1710792704.0,2.7,123228160.0
59,29.8,1727016960.0,1.8,123228160.0
60,42.9,1727471616.0,0.2,104833024.0
61,36.2,1727512576.0,4.0,109613056.0
62,46.8,1763225600.0,4.4,112136192.0
63,28.6,1800310784.0,2.5,113762304.0
64,33.0,1806032896.0,1.5,114257920.0
65,36.8,1806053376.0,2.8,114257920.0
66,44.1,1806614528.0,4.2,114257920.0
67,46.1,1807450112.0,4.4,114257920.0
68,28.5,1844260864.0,2.4,114257920.0
69,37.0,1880539136.0,1.8,114257920.0
70,29.8,1880571904.0,2.4,114257920.0
71,44.8,1880883200.0,4.4,114257920.0
72,44.4,1886072832.0,3.9,114876416.0
73,30.9,1909112832.0,2.5,114876416.0
74,33.0,1920860160.0,1.6,114876416.0
75,27.9,1920913408.0,2.3,114876416.0
76,44.1,1918889984.0,4.3,114876416.0
77,40.1,1920229376.0,3.8,114876416.0
78,28.1,1922445312.0,2.4,115531776.0
79,36.8,1941192704.0,1.8,116293632.0
80,30.1,1941192704.0,2.7,116293632.0
81,40.2,1941266432.0,4.6,116297728.0
82,36.3,1941454848.0,3.8,116756480.0
83,29.4,1941213184.0,2.3,116756480.0
84,34.7,1981997056.0,2.0,117288960.0
85,31.9,1982500864.0,3.0,117288960.0
86,40.3,1982742528.0,4.4,117288960.0
87,43.7,1982971904.0,4.1,118525952.0
88,27.9,1992400896.0,2.2,118525952.0
89,36.7,2027233280.0,2.0,118525952.0
90,38.0,2027479040.0,3.3,118525952.0
91,45.7,2029330432.0,4.8,118525952.0
92,33.2,2049028096.0,3.1,118525952.0
93,29.3,2063323136.0,2.0,118525952.0
