Fri Feb 23 13:42:46 2018    ../cProfile_results/110100011011101101/cProfile.log

         680865947 function calls (660538449 primitive calls) in 4916.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
37471/32958 1985.117    0.053 2401.978    0.073 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
   479245    7.233    0.000   11.432    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py:112(force_bytes)
23457091/22806331    7.189    0.000  272.366    0.000 {len}
   244111    6.922    0.000   13.030    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/extras.py:673(parse)
  1344218    6.774    0.000    7.309    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/__init__.py:342(get_col)
  4694010    6.640    0.000   77.496    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/functional.py:14(_curried)
  2259675    6.636    0.000    6.636    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/options.py:649(get_ancestor_link)
  1984591    6.484    0.000    7.199    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/text.py:349(smart_split)
    71697    6.426    0.000  751.933    0.010 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:1557(prefetch_one_level)
   131257    6.395    0.000  834.146    0.006 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphene_django/debug/sql/tracking.py:100(_record)
268171/7579    6.288    0.000   17.815    0.002 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/copy.py:234(_deepcopy_tuple)
424352/421948    6.088    0.000  228.855    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/template/base.py:872(_resolve_lookup)
  4696618    5.706    0.000    9.361    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related.py:593(foreign_related_fields)
  5007415    5.345    0.000    5.345    0.000 {method 'group' of 'SRE_Match' objects}
425844/421143    5.324    0.000  140.692    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:1232(_add_q)
128002/127462    5.270    0.000  110.399    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/compiler.py:358(as_sql)
    38880    5.268    0.000   14.182    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/graphql/language/visitor.py:196(leave)
   416554    4.911    0.000    7.445    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_lookups.py:23(get_normalized_value)
6563693/6157891    4.806    0.000    8.100    0.000 {setattr}
  1014836    4.796    0.000    4.796    0.000 {reversed}
62602/19604    4.757    0.000   15.618    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/json/encoder.py:285(__encode_dict)
   716852    4.729    0.000 1001.608    0.001 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/query.py:48(__iter__)
