"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1.16215234874532e-22,2.78221599872333e-55,1.30220264161539e-09,1.12680765335764e-235,1.95367176852684e-158,1.95371471086096e-158,6.15181115511158e-102,2.21138505602597e-122,5.91590896578675e-138,1.9537051680389e-158
"2",0.000109760262284095,2.17055676268027e-26,1.49845090853491e-165,5.03076016001989e-167,5.62283870898868e-127,3.36782619940297e-119,0.949564436759513,6.14859624144748e-62,1.26372754450338e-126,2.36208347015842e-207
"3",0,2.20823461959198e-188,0,7.40424489207212e-205,0,0,0,0,0,0
"4",4.64635005865728e-140,1.08970342888508e-142,1.41274819371455e-37,9.89141101476174e-11,0,0,1.14453266479327e-209,1.17186054079318e-241,0,0
"5",2.03606838914395e-78,2.93395370003214e-138,0,0,0,0,0.00249161625874421,0,0,0
"6",2.08712440880209e-42,4.66477581823307e-18,7.2782498904523e-43,6.23801803556882e-107,2.60688365677491e-70,2.60688365677491e-70,9.50633860103388e-69,2.72841225083718e-35,2.60685038131146e-70,2.60691693265782e-70
"7",0,0,0,0,0,0,0,0,0,0
"8",-0.350566520467836,-0.486764905149052,0.183738888888889,0.992722222222222,1,1,0.799296875,0.877222222222222,-0.932230902777778,1
"9",0.11038665038665,0.314765211640212,0.754090271029047,0.757481913400281,0.780078105316201,0.755419501133787,0.00206097253716301,0.540458553791887,0.778979591836735,1
"10",1,0.958511904761905,-1,-0.999996031746032,1,1,1,1,1,1
"11",0.772049606167253,0.589717042217042,0.291186490978158,0.153473646723647,1,1,0.737789465994594,0.792609394404266,1,1
"12",-0.494864408568112,-0.586817256817257,0.995193856063421,1,1,1,0.0722090729783037,-0.914367010008036,1,1
"13",0.709650793650794,0.377283950617284,1,1,1,1,0.988526077097506,0.699319727891156,1,1
