314,568,654,683,729,736,736,736,736,736,738,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,739,741,741,741,741,741,741,741,741,741,741,741
192,446,476,507,545,600,653,664,686,695,702,704,706,706,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
59,279,391,449,467,473,478,506,525,541,541,562,565,565,565,589,607,615,620,637,637,637,637,637,637,647,648,670,670,670,671,671,673,673,673,673,673,677,677,677,677,677,696,697,697,697,697,697,697,697,697
27,232,269,284,383,409,412,412,423,455,455,469,483,483,487,488,488,488,491,492,494,495,495,496,497,497,497,497,505,505,506,506,506,506,506,506,506,506,506,511,512,516,517,517,517,517,517,518,518,518,518
7,85,152,201,202,243,258,284,286,322,334,405,405,405,405,405,410,431,433,433,434,434,434,434,434,434,434,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
