"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,0,0.0736177245835726,0,0,0.154021266162384,0.0987752293249985,0.0837319825285031,0.0837319825285031,0.0837319825285031,0.0837319825285031
"2",0,1,0,0,0,0.0900059245489608,0.293368667926526,0.0851474489505163,0.627843228164504,0.372972623855386,0.0837319841349187
"3",0.0736177245835726,0,1,0,0,0.0950850857371321,0.121471442214624,0.0837319813236914,0.0837319813236914,0.0837319813236914,0.0837319813236914
"4",0,0,0,1,0,0.0837319841349187,0.0837319841349187,0.0837319841349187,0.0837319841349187,0.0837319841349187,0.0837319841349187
"5",0,0,0,0,1,0.0837428629750715,0.0837428629750715,0.0837428629750715,0.0837428629750715,0.0837428629750715,0.0837428629750715
"6",0.154021266162384,0.0900059245489608,0.0950850857371321,0.0837319841349187,0.0837428629750715,NA,1,1,1,1,1
"7",0.0987752293249985,0.293368667926526,0.121471442214624,0.0837319841349187,0.0837428629750715,1,NA,1,1,1,1
"8",0.0837319825285031,0.0851474489505163,0.0837319813236914,0.0837319841349187,0.0837428629750715,1,1,NA,1,1,1
"9",0.0837319825285031,0.627843228164504,0.0837319813236914,0.0837319841349187,0.0837428629750715,1,1,1,NA,1,1
"10",0.0837319825285031,0.372972623855386,0.0837319813236914,0.0837319841349187,0.0837428629750715,1,1,1,1,NA,1
"11",0.0837319825285031,0.0837319841349187,0.0837319813236914,0.0837319841349187,0.0837428629750715,1,1,1,1,1,NA
"12",0,0,0,0,0,0,0,0,0,0,0
"13",2.12982940015131e-19,0.861846225962599,0.0401973363376563,-1,-1,-0.824375473126419,0.954579863739591,1,1,1,-1
"14",-0.861846225962599,-8.42903581485702e-20,-0.852834976370183,-1,-1,-0.980317940953823,-0.607872823618471,0.995457986373959,0.280847842543528,0.51551854655564,-1
"15",-0.0401973363376563,0.852834976370183,1.70960872466866e-19,-1,-1,-0.965177895533687,0.89553368660106,1,1,1,-1
"16",1,1,1,4.01425649176881e-19,-0.980480951512568,1,1,1,1,1,1
"17",1,1,1,0.980480951512568,3.01745809894688e-19,1,1,1,1,1,1
"18",0.824375473126419,0.980317940953823,0.965177895533687,-1,-1,0,1,1,1,1,-1
"19",-0.954579863739591,0.607872823618471,-0.89553368660106,-1,-1,-1,0,1,1,1,-1
"20",-1,-0.995457986373959,-1,-1,-1,-1,-1,0,-1,-1,-1
"21",-1,-0.280847842543528,-1,-1,-1,-1,-1,1,0,1,-1
"22",-1,-0.51551854655564,-1,-1,-1,-1,-1,1,-1,0,-1
"23",1,1,1,-1,-1,1,1,1,1,1,0
