111000100100000111,816,185894229
111010010000111011,6603,407280298
010101110110000001,4130,224742058
010110000110010010,4771,271631701
010010100110101110,1984,203265365
011110000001110100,5423,320670378
011111100100110010,7290,392324437
011111100100010010,5972,279534250
010101101100101100,3920,263069696
101010010100111111,754,213972309
011011011011011011,3435,249936554
010101100100111001,5543,402374656
000101010010000100,2181,198369280
100101110110000001,6337,280662016
010110000100010000,4527,274122069
001110111000110111,448,199725056
010101101000010000,3191,251755178
011011101011111111,507,208799061
010001110110000001,3306,212387157
110111101011001110,2238,202836650
111000000001110100,5790,352815786
100101110110000101,4012,217107114
010101101101101100,4144,266859861
110001100100010110,1599,194576384
011000010000110010,3255,309795498
010101110001100111,349,185928362
111000010000111110,2170,267429205
101001100001111110,1464,253882368
111110100001110100,9513,399661738
