000000001000010000,1314,211902464
111110010011100110,2662,223096832
011100010010111111,505,204251136
101110001100011110,1971,201605120
111000010011100110,2194,228633258
010100111001001110,635,180411050
110000000110010110,1993,187565397
110101101101101100,8468,353116160
111110000000110100,9480,409033386
010101101101100100,3820,244578986
011001100001110110,941,221294592
011111001110110010,8146,416499029
001110001100010110,1149,185320789
011001100011110110,1258,225236309
000110011110001010,3848,222395050
111110000101111111,1565,214760106
001010100011100110,888,188224853
110001001110110110,2656,230111914
111110000001110100,9510,407997098
001100001100010100,2280,216294741
011110001100010110,1430,191152128
110011100100010110,1772,193854122
111111100001110100,10081,397669717
010100010010111111,361,200144213
100101010010000101,2915,212641109
011011011011011011,3504,251968170
001010100110000000,2999,206872576
011010001100010000,3771,264377685
111111100111100110,3722,214790144
000100111000010111,188,178551466
