6,1,1,5,5,0,10141,1291,1507,1524,116,106,4544
4,4,0,7,7,5,7422,4044,3990,3013,347,323,11717
4,3,4,0,1,7,611,5511,5123,4438,600,514,16186
4,7,4,0,6,1,10585,1263,1153,1030,109,94,3649
2,1,6,1,5,2,4291,1970,1793,1846,188,186,5983
7,2,1,4,4,2,10174,1358,1236,1126,119,111,3950
7,3,4,0,4,2,9847,1307,1435,1164,126,110,4142
7,1,4,5,1,5,6674,1961,1808,1596,168,155,5688
4,7,3,5,7,0,11808,1310,1318,940,113,97,3778
6,1,6,1,4,0,7893,1380,1181,1088,113,106,3868
7,6,1,7,6,0,13861,1236,1223,1023,106,90,3678
3,3,5,2,6,3,5597,1359,1414,1123,129,115,4140
0,7,5,0,7,0,8150,1417,1350,1068,117,110,4062
1,7,1,1,5,3,6676,1707,1674,1211,160,136,4888
7,5,5,2,4,0,11392,1508,1297,982,114,94,3995
3,7,5,4,5,3,9148,1345,1472,1400,132,143,4492
6,4,1,7,7,7,2043,51082,45010,41077,4127,4027,145323
0,7,2,7,3,7,978,8800,8291,7212,913,844,26060
6,5,5,1,6,0,11105,1256,1479,1097,105,91,4028
4,3,7,3,4,4,5500,1574,1570,1372,148,134,4798
4,7,4,0,4,2,9718,1528,1334,1134,113,118,4227
1,7,6,5,6,2,7844,1436,1326,1148,122,113,4145
7,7,5,0,7,2,13408,1348,1394,1057,103,92,3994
7,5,5,2,4,3,10866,1514,1508,1092,123,110,4347
3,1,1,3,2,1,4193,2305,2345,2035,231,181,7097
4,6,1,5,6,0,10976,1399,1217,1095,121,104,3936
0,1,7,6,4,2,5380,2139,2139,1807,245,205,6535
5,1,2,6,0,0,7818,1930,1792,1599,176,178,5675
5,5,3,2,7,6,2903,6524,6439,5382,684,617,19646
4,7,3,2,5,1,10062,1461,1284,1028,119,109,4001
3,3,7,3,3,3,4565,1973,1662,1406,236,217,5494
4,5,5,2,4,2,7682,1667,1320,1149,137,110,4383
4,6,1,0,4,0,8846,1591,1185,1244,144,115,4279
7,3,5,5,4,0,11283,1330,1314,1016,113,102,3875
4,7,0,0,4,2,9697,1451,1492,1227,116,118,4404
6,6,1,1,7,1,12162,1224,1131,1151,110,101,3717
2,3,4,5,1,7,644,6347,5954,5092,632,574,18599
7,5,1,2,7,2,12281,1174,1240,1167,122,91,3794
1,7,5,4,4,3,6305,1645,1604,1386,167,161,4963
5,1,0,3,3,7,933,6169,5821,5027,672,577,18266
2,0,5,0,0,1,1968,3617,3342,2763,352,335,10409
0,2,3,2,7,7,241,22294,21183,17715,2190,2124,65506
0,7,5,1,3,2,5892,2696,2155,1672,253,209,6985
7,3,0,0,6,1,10570,1290,1178,953,109,94,3624
2,7,5,5,6,3,8407,1549,1442,1117,129,111,4348
6,5,5,2,4,0,10326,1262,1315,1038,105,103,3823
6,1,1,5,0,0,8111,1579,1543,1229,147,130,4628
4,5,4,2,6,0,8808,1295,1337,1088,115,105,3940
4,7,4,1,4,0,9682,1745,1431,1206,147,125,4654
7,1,2,6,1,5,6944,2254,1851,1544,179,176,6004
5,1,1,1,3,7,794,5901,5668,4836,614,546,17565
5,5,0,1,5,0,9585,1301,1245,1104,104,107,3861
7,3,1,1,0,3,8034,1580,1419,1091,137,136,4363
5,3,5,2,6,1,8623,1188,1239,1078,110,107,3722
6,5,0,1,5,0,10778,1300,1175,991,103,105,3674
7,3,1,2,4,0,10148,1381,1154,1125,109,95,3864
7,4,1,1,4,0,10777,1247,1339,1136,97,110,3929
7,2,4,3,6,0,10962,1440,1475,1125,116,95,4251
5,7,6,7,4,0,11831,1430,1596,1106,103,108,4343
3,3,3,3,3,3,4689,1974,1800,1541,184,161,5660
7,7,1,1,4,0,12602,1490,1165,1070,105,105,3935
4,7,3,6,6,0,11291,1471,1202,1077,104,108,3962
3,1,1,3,6,1,6186,1664,1681,1325,162,139,4971
3,3,6,0,4,3,4802,1784,1395,1274,162,154,4769
4,2,6,1,5,0,6563,1685,1272,1241,121,130,4449
4,6,6,1,5,0,9605,1458,1288,1033,126,105,4010
4,7,5,2,6,0,10676,1245,1234,1042,105,102,3728
6,6,1,5,7,1,12841,1194,1226,1019,107,101,3647
7,1,6,1,2,7,1217,5449,5219,4272,602,556,16098
4,7,0,3,6,0,10629,1276,1180,1159,107,106,3828
3,7,6,1,4,3,8276,1429,1642,1563,165,142,4941
0,7,3,1,1,3,5208,3455,3366,3137,328,320,10606
2,5,6,0,3,3,4534,2024,1851,1492,215,182,5764
