110001001101101000,10141,1291,1507,1524,116,106,4544
100100000111111101,7422,4044,3990,3013,347,323,11717
100011100000001111,611,5511,5123,4438,600,514,16186
100111100000110001,10585,1263,1153,1030,109,94,3649
010001110001101010,4291,1970,1793,1846,188,186,5983
111010001100100010,10174,1358,1236,1126,119,111,3950
111011100000100010,9847,1307,1435,1164,126,110,4142
111001100101001101,6674,1961,1808,1596,168,155,5688
100111011101111000,11808,1310,1318,940,113,97,3778
110001110001100000,7893,1380,1181,1088,113,106,3868
111110001111110000,13861,1236,1223,1023,106,90,3678
011011101010110011,5597,1359,1414,1123,129,115,4140
000111101000111000,8150,1417,1350,1068,117,110,4062
001111001001101011,6676,1707,1674,1211,160,136,4888
111101101010100000,11392,1508,1297,982,114,94,3995
011111101100101011,9148,1345,1472,1400,132,143,4492
110100001111111111,2043,51082,45010,41077,4127,4027,145323
000111010111011111,978,8800,8291,7212,913,844,26060
110101101001110000,11105,1256,1479,1097,105,91,4028
100011111011100100,5500,1574,1570,1372,148,134,4798
100111100000100010,9718,1528,1334,1134,113,118,4227
001111110101110010,7844,1436,1326,1148,122,113,4145
111111101000111010,13408,1348,1394,1057,103,92,3994
111101101010100011,10866,1514,1508,1092,123,110,4347
011001001011010001,4193,2305,2345,2035,231,181,7097
100110001101110000,10976,1399,1217,1095,121,104,3936
000001111110100010,5380,2139,2139,1807,245,205,6535
101001010110000000,7818,1930,1792,1599,176,178,5675
101101011010111110,2903,6524,6439,5382,684,617,19646
100111011010101001,10062,1461,1284,1028,119,109,4001
011011111011011011,4565,1973,1662,1406,236,217,5494
100101101010100010,7682,1667,1320,1149,137,110,4383
100110001000100000,8846,1591,1185,1244,144,115,4279
111011101101100000,11283,1330,1314,1016,113,102,3875
100111000000100010,9697,1451,1492,1227,116,118,4404
110110001001111001,12162,1224,1131,1151,110,101,3717
010011100101001111,644,6347,5954,5092,632,574,18599
111101001010111010,12281,1174,1240,1167,122,91,3794
001111101100100011,6305,1645,1604,1386,167,161,4963
101001000011011111,933,6169,5821,5027,672,577,18266
010000101000000001,1968,3617,3342,2763,352,335,10409
000010011010111111,241,22294,21183,17715,2190,2124,65506
000111101001011010,5892,2696,2155,1672,253,209,6985
111011000000110001,10570,1290,1178,953,109,94,3624
010111101101110011,8407,1549,1442,1117,129,111,4348
110101101010100000,10326,1262,1315,1038,105,103,3823
110001001101000000,8111,1579,1543,1229,147,130,4628
100101100010110000,8808,1295,1337,1088,115,105,3940
100111100001100000,9682,1745,1431,1206,147,125,4654
111001010110001101,6944,2254,1851,1544,179,176,6004
101001001001011111,794,5901,5668,4836,614,546,17565
101101000001101000,9585,1301,1245,1104,104,107,3861
111011001001000011,8034,1580,1419,1091,137,136,4363
101011101010110001,8623,1188,1239,1078,110,107,3722
110101000001101000,10778,1300,1175,991,103,105,3674
111011001010100000,10148,1381,1154,1125,109,95,3864
111100001001100000,10777,1247,1339,1136,97,110,3929
111010100011110000,10962,1440,1475,1125,116,95,4251
101111110111100000,11831,1430,1596,1106,103,108,4343
011011011011011011,4689,1974,1800,1541,184,161,5660
111111001001100000,12602,1490,1165,1070,105,105,3935
100111011110110000,11291,1471,1202,1077,104,108,3962
011001001011110001,6186,1664,1681,1325,162,139,4971
011011110000100011,4802,1784,1395,1274,162,154,4769
100010110001101000,6563,1685,1272,1241,121,130,4449
100110110001101000,9605,1458,1288,1033,126,105,4010
100111101010110000,10676,1245,1234,1042,105,102,3728
110110001101111001,12841,1194,1226,1019,107,101,3647
111001110001010111,1217,5449,5219,4272,602,556,16098
100111000011110000,10629,1276,1180,1159,107,106,3828
011111110001100011,8276,1429,1642,1563,165,142,4941
000111011001001011,5208,3455,3366,3137,328,320,10606
010101110000011011,4534,2024,1851,1492,215,182,5764
110110001101110000,12327,1273,1256,1030,113,88,3760
011110001101111011,9254,1365,1337,1047,117,110,3976
110111100000100010,11581,1323,1308,1127,114,95,3967
100011100000100010,6024,1444,1667,1391,120,122,4744
110110101101110000,12426,1227,1351,984,107,95,3764
101100001101110000,10705,1240,1283,1072,110,97,3802
011111101000111011,9976,1333,1255,1135,114,105,3942
000001010110001011,3302,3820,3620,3187,396,346,11369
011011101010100011,5087,1735,1478,1445,146,140,4944
100111011110101001,10874,1412,1403,1113,118,103,4149
001101000011101001,6077,1618,1644,1260,170,134,4826
010111101001100011,6834,1576,1499,1221,153,140,4589
100111011101100000,10087,1695,1328,1191,123,118,4455
101101101100100000,9944,1400,1219,1171,116,102,4008
100111101010110001,10590,1214,1240,1017,100,105,3676
101101101010100000,9317,1513,1489,1307,125,114,4548
100101110111110110,3604,6557,6273,5311,661,604,19406
001011011000100011,3436,2515,1846,1819,201,183,6564
011111110000111011,9797,1250,1209,1072,108,102,3741
011111101101110011,9660,1449,1349,1053,109,114,4074
110001110000110000,8231,1321,1237,1073,117,103,3851
011111110101100011,8620,1575,1458,1271,150,126,4580
100001100000100010,5757,1629,1781,1434,152,122,5118
111011000111100101,8840,2126,2013,1785,186,174,6284
100011011000100000,6577,1545,1419,1158,138,119,4379
101111100100000000,10084,2100,1615,1500,171,177,5563
110110101010100000,10747,1241,1464,1227,109,115,4156
110110001101111000,12944,1154,1399,1203,126,109,3991
111011101010101010,10350,1461,1189,1155,103,98,4006
100111100101111001,11639,1226,1160,1118,102,94,3700
011111110000010011,7209,2376,2175,1756,189,187,6683
111111100011100100,12009,1544,1824,1576,162,172,5278
100111111001001001,8910,1764,1946,1588,185,178,5661
110001110111101000,11303,1313,1378,998,112,101,3902
111101100000100000,11115,1281,1096,1047,107,103,3634
