obj_1,obj_2,obj_3,obj_4,,
92.33766667,1343490949,0.719666667,114337478,1281.252813,109.0407161
61.63933333,3144042592,0.609333333,102594300.6,2998.392669,97.84154948
62.196,3275365977,0.593666667,102655713.3,3123.632409,97.90011719
63.277,3087553836,0.587666667,99829923.84,2944.520794,95.20523438
,,,,,
0,0,0,0,,
0.332457321,-1.340203776,0.153311718,0.102706283,,
0.326428724,-1.43795165,0.175081056,0.102169165,,
0.314721692,-1.298157526,0.183418249,0.126883629,,
