timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1519768548807,138,4214 /checkout/shipping-address/,200,OK,Returning User 1-7,text,true,,23575,10,10,138,0
1519768548799,199,4222 /checkout/summary/,200,OK,Returning User 1-2,text,true,,23735,10,10,198,0
1519768548973,122,4217 /checkout/shipping-address/,200,OK,Returning User 1-4,text,true,,27879,10,10,122,0
1519768549117,44,4216 /cart/summary/,200,OK,Returning User 1-5,text,true,,1839,10,10,44,0
1519768549097,111,4217 /checkout/shipping-address/,200,OK,Returning User 1-10,text,true,,10158,10,10,39,0
1519768549441,48,4233 /,200,OK,Returning User 1-1,text,true,,32362,10,10,47,0
1519768549582,107,4217 /checkout/shipping-address/,200,OK,Returning User 1-8,text,true,,10144,10,10,38,0
1519768549656,108,4218 /checkout/shipping-method/,200,OK,Returning User 1-6,text,true,,14274,10,10,108,0
1519768549692,75,4215 /jsi18n/,200,OK,Returning User 1-9,text,true,,3371,10,10,75,0
1519768549799,3,4223 /jsi18n/,200,OK,Returning User 1-2,text,true,,3371,10,10,3,0
1519768549807,4,4215 /jsi18n/,200,OK,Returning User 1-7,text,true,,3371,10,10,4,0
1519768549809,4,4215 /jsi18n/,200,OK,Returning User 1-3,text,true,,3371,10,10,4,0
1519768549973,68,4218 /checkout/shipping-method/,200,OK,Returning User 1-4,text,true,,14247,10,10,68,0
1519768550097,41,4218 /checkout/shipping-method/,200,OK,Returning User 1-10,text,true,,9826,10,10,41,0
1519768550117,92,4217 /checkout/shipping-address/,200,OK,Returning User 1-5,text,true,,10143,10,10,53,0
1519768550441,4,4235 /jsi18n/,200,OK,Returning User 1-1,text,true,,3371,10,10,4,0
1519768550582,40,4218 /checkout/shipping-method/,200,OK,Returning User 1-8,text,true,,9812,10,10,40,0
1519768550656,3,4219 /jsi18n/,200,OK,Returning User 1-6,text,true,,3371,10,10,3,0
1519768550692,23,4216 /cart/summary/,200,OK,Returning User 1-9,text,true,,1798,10,10,23,0
1519768550799,26,4224 /cart/summary/,200,OK,Returning User 1-2,text,true,,1845,10,10,26,0
1519768550809,38,4216 /cart/summary/,200,OK,Returning User 1-3,text,true,,1800,10,10,38,0
1519768550807,63,4216 /cart/summary/,200,OK,Returning User 1-7,text,true,,1820,10,10,63,0
1519768550973,17,4219 /jsi18n/,200,OK,Returning User 1-4,text,true,,3371,10,10,17,0
1519768551097,4,4219 /jsi18n/,200,OK,Returning User 1-10,text,true,,3371,10,10,4,0
1519768551117,39,4218 /checkout/shipping-method/,200,OK,Returning User 1-5,text,true,,9811,10,10,39,0
1519768551441,7,4243 /cart/summary/,200,OK,Returning User 1-1,text,true,,520,10,10,7,0
1519768551582,8,4219 /jsi18n/,200,OK,Returning User 1-8,text,true,,3371,10,10,8,0
1519768551656,102,4220 /cart/summary/,200,OK,Returning User 1-6,text,true,,11047,10,10,102,0
1519768551692,391,4217 /checkout/shipping-address/,200,OK,Returning User 1-9,text,true,,10126,10,10,128,0
1519768551799,320,4225 /checkout/summary/,200,OK,Returning User 1-2,text,true,,18122,10,10,163,0
1519768551807,366,4217 /checkout/shipping-address/,200,OK,Returning User 1-7,text,true,,10153,10,10,196,0
1519768551809,414,4217 /checkout/shipping-address/,200,OK,Returning User 1-3,text,true,,10127,10,10,220,0
