time,CPU_percent,memory_rss,memory_vms,memory_share,memory_data
1241,31.3,379318272,628924416,28221440,488742912
1251,26.5,379318272,628924416,28221440,488742912
1261,21.8,379318272,628924416,28221440,488742912
1271,23.1,379318272,628924416,28221440,488742912
1281,24.7,387960832,636710912,28217344,496529408
1291,28.7,387751936,636710912,28217344,496529408
1301,24.4,386818048,636710912,28217344,496529408
1311,26.1,386338816,636710912,28217344,496529408
1321,16.2,386338816,636710912,28217344,496529408
1331,23.0,386875392,636710912,28217344,496529408
1341,24.6,386875392,636710912,28217344,496529408
1351,33.5,387956736,636710912,28217344,496529408
1361,21.2,388284416,636710912,28217344,496529408
1371,25.9,388284416,636710912,28217344,496529408
1381,28.4,388284416,636710912,28217344,496529408
1391,28.9,389693440,637968384,28217344,497786880
1401,21.3,392323072,637968384,28217344,497786880
1411,31.9,392323072,637968384,28217344,497786880
1421,18.3,393134080,639229952,28217344,499048448
1431,32.3,393134080,639229952,28217344,499048448
1441,26.4,393134080,639229952,28217344,499048448
1451,32.1,393134080,639229952,28217344,499048448
1461,30.2,393134080,639229952,28217344,499048448
1471,25.6,393134080,639229952,28217344,499048448
1481,23.4,393134080,639229952,28217344,499048448
1491,26.8,393134080,639229952,28217344,499048448
1501,28.5,393658368,639381504,28209152,499200000
1511,26.6,393195520,639381504,28209152,499200000
1521,24.9,393732096,639381504,28209152,499200000
1531,29.4,393732096,639381504,28209152,499200000
1541,24.5,393732096,639381504,28209152,499200000
1551,32.6,396435456,642146304,28209152,501964800
1561,28.7,396435456,642146304,28209152,501964800
1571,25.9,396435456,642146304,28209152,501964800
1581,26.6,396238848,642146304,28209152,501964800
1591,34.0,396238848,642146304,28209152,501964800
1601,22.8,396238848,642146304,28209152,501964800
1611,30.0,396238848,642146304,28209152,501964800
1621,23.0,396238848,642146304,28209152,501964800
1631,25.3,396238848,642146304,28209152,501964800
1641,20.3,396238848,642146304,28209152,501964800
1651,25.9,396238848,642146304,28209152,501964800
1661,23.3,396521472,642146304,28209152,501964800
1671,27.3,396521472,642146304,28209152,501964800
1681,26.0,396521472,642146304,28209152,501964800
1691,20.8,396521472,642146304,28209152,501964800
1701,29.9,396537856,642146304,28209152,501964800
1711,30.3,396562432,642146304,28209152,501964800
1721,32.7,396595200,642146304,28209152,501964800
1731,26.8,397402112,643485696,28209152,503304192
1741,30.1,397348864,643485696,28209152,503304192
1751,30.4,397021184,643485696,28209152,503304192
1761,24.8,398098432,644288512,28209152,504107008
1771,32.8,399450112,645115904,28209152,504934400
1781,29.6,401072128,646864896,28209152,506683392
1791,18.1,401072128,646864896,28209152,506683392
1801,27.9,400977920,646864896,28209152,506683392
1811,33.5,400977920,646864896,28209152,506683392
1821,19.9,400977920,646864896,28209152,506683392
1831,23.0,400977920,646864896,28209152,506683392
1841,26.6,400977920,646864896,28209152,506683392
1851,29.7,400977920,646864896,28209152,506683392
1861,36.3,400977920,646864896,28209152,506683392
1871,31.2,400977920,646864896,28209152,506683392
1881,26.3,400977920,646864896,28209152,506683392
1891,30.4,400977920,646864896,28209152,506683392
1901,22.7,400977920,646864896,28209152,506683392
1911,23.9,400977920,646864896,28209152,506683392
1921,28.2,400977920,646864896,28209152,506683392
1931,26.1,400977920,646864896,28209152,506683392
1941,35.1,400977920,646864896,28209152,506683392
1951,28.2,400977920,646864896,28209152,506683392
1961,28.7,400977920,646864896,28209152,506683392
1971,29.9,404762624,650674176,28209152,510492672
1981,26.2,405573632,651313152,28209152,511131648
1991,32.1,405573632,651313152,28209152,511131648
2001,27.8,405573632,651313152,28209152,511131648
2011,31.4,405573632,651313152,28209152,511131648
2021,21.8,405573632,651313152,28209152,511131648
2031,32.0,405573632,651313152,28209152,511131648
2041,29.0,405573632,651313152,28209152,511131648
2051,28.9,412602368,658522112,28209152,518340608
2061,26.2,411885568,658522112,28209152,518340608
2071,34.9,412696576,658522112,28209152,518340608
2081,32.3,412696576,658522112,28209152,518340608
2091,31.0,412696576,658522112,28209152,518340608
2101,22.3,411934720,658522112,28209152,518340608
2111,30.2,412401664,658522112,28209152,518340608
2121,28.7,412938240,658522112,28209152,518340608
2131,24.3,412938240,658522112,28209152,518340608
2141,27.7,412938240,658522112,28209152,518340608
2151,31.1,413208576,658837504,28209152,518656000
