101110101001101011,11286,40,24,252,91,43,72,114,158,118,230,39,56,1237
101111100010000001,11358,76,34,326,157,76,93,203,263,178,391,89,93,1979
110100010100011111,1565,231,93,899,476,269,194,680,832,609,1225,232,231,5971
001001010101011111,857,209,97,915,479,291,199,738,904,667,1207,282,239,6227
001000010110000110,2191,160,74,660,398,216,148,490,637,443,903,187,164,4480
010001001001111010,6408,74,37,335,152,78,83,195,251,176,347,64,74,1866
010010001111010001,7484,113,66,472,242,136,130,346,390,277,573,128,140,3013
100001111110001010,7481,74,38,321,159,89,88,206,257,186,407,82,88,1995
101000100100001000,7860,52,40,285,139,71,87,180,219,152,349,74,76,1724
000110010110111101,5084,165,57,501,368,200,179,574,799,637,1039,206,181,4906
001010100000011001,4167,109,49,533,219,109,110,259,322,243,481,100,109,2643
010001000010001011,3099,114,51,458,249,127,105,308,357,255,532,109,114,2779
100111000100011101,5717,126,52,503,242,145,118,360,479,349,722,134,127,3357
110010000100101011,9678,40,26,239,91,46,65,126,160,105,227,39,52,1216
110000010011111101,6194,120,47,445,347,155,138,361,470,328,571,119,134,3235
010000011011011011,4015,104,52,467,207,117,112,306,396,275,531,110,110,2787
100000101000011000,6500,62,45,392,168,90,93,210,269,181,357,76,93,2036
011000010001111011,5846,58,33,327,131,75,84,182,224,167,307,69,74,1731
100000101000111000,8561,53,33,264,133,76,72,164,195,140,272,64,67,1533
110110101001101011,12225,33,24,254,74,45,64,123,151,103,215,39,55,1180
010001100110010011,5530,98,44,483,219,110,105,287,357,242,505,106,105,2661
100000101000101000,7368,53,28,258,143,82,81,157,203,137,270,55,70,1537
000011111000101100,3257,97,43,439,289,123,112,320,368,266,558,95,102,2812
010001011011101100,4328,115,43,502,220,131,122,303,393,288,537,100,113,2867
011011011011011011,5934,61,41,330,162,92,89,203,263,180,325,90,91,1927
101101111010111011,10738,49,36,252,218,58,68,136,199,145,285,53,70,1569
111010110011111011,10425,52,36,274,126,66,83,176,210,146,272,56,77,1574
110101011000100111,1285,202,100,757,537,293,212,751,956,671,1231,279,240,6229
110110111001101000,11238,56,33,320,482,112,96,179,220,173,362,75,106,2214
010001111001111010,6143,86,46,452,247,122,116,268,382,242,418,105,112,2596
110100011011001101,5388,92,43,415,208,104,106,271,350,278,505,101,105,2578
110000100000011011,7291,52,45,372,125,86,84,174,230,155,293,65,77,1758
111010001001111010,11503,34,23,268,71,43,67,122,177,113,223,44,57,1242
110111010110110101,8906,107,62,412,290,132,125,402,538,414,665,133,122,3402
010000000010000100,2479,143,48,581,323,149,128,401,472,337,659,125,132,3498
100011000110110100,8416,89,32,473,206,118,103,268,363,254,459,77,87,2529
001110111100110000,9146,55,42,257,347,100,78,171,236,147,361,79,77,1950
110100111000100111,1195,199,91,739,516,294,203,797,989,698,1270,295,224,6315
100010000100101000,9580,37,33,359,153,65,78,140,172,123,280,49,60,1549
110111000010001011,11771,45,30,270,132,62,73,149,189,145,262,59,75,1491
011001110000000000,4047,121,66,503,283,122,122,338,379,279,626,113,132,3084
010001011101110110,2827,180,79,711,519,221,161,556,677,474,891,199,172,4840
100111011000110100,10261,86,39,412,318,130,119,298,423,303,555,80,98,2861
000001110001100110,1283,154,60,525,365,157,145,410,516,373,785,136,134,3760
100010110110110100,7421,79,36,385,353,149,116,306,421,297,589,96,92,2919
111010100011111011,11466,49,25,242,84,45,64,118,164,104,269,48,56,1268
110010000100101000,10651,48,40,267,97,58,83,151,200,135,311,55,89,1534
100110100100010100,8780,78,35,365,169,85,99,235,305,211,393,80,103,2158
011001011001100100,4290,121,42,438,222,116,137,289,392,296,521,109,129,2812
011011011011111011,7840,43,37,274,116,62,67,141,187,126,235,47,59,1394
000001000010000100,1887,231,69,687,415,196,177,521,622,484,888,165,189,4644
110110101010001000,11403,48,32,246,122,68,75,155,201,156,283,68,76,1530
110111100010000001,12211,52,33,298,143,66,78,164,214,157,333,78,79,1695
000011111000111100,3141,168,55,534,601,258,174,528,740,545,1023,195,173,4994
100001001001111010,8216,42,30,302,129,64,76,161,191,129,243,51,62,1480
000001110001100100,2688,140,50,477,329,153,168,356,499,361,639,141,152,3465
111011010001110101,7508,89,35,352,195,94,104,274,362,265,525,88,104,2487
