Wed Feb 28 11:14:27 2018    ../cProfile_results/011011011011011011/cProfile.log

         379613366 function calls (367456698 primitive calls) in 890.997 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
22307/19811  367.880    0.016  449.921    0.023 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/tornado/gen.py:1037(run)
    10161   88.076    0.009   88.076    0.009 {method 'poll' of 'select.epoll' objects}
     4164   15.927    0.004   15.987    0.004 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/connection.py:648(_execute_command)
    68452   15.010    0.000   23.415    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:677(_pq_execute)
    68451   11.429    0.000   13.602    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/psycopg2cffi-2.7.5-py2.7-linux-x86_64.egg/psycopg2cffi/_impl/cursor.py:912(_combine_cmd_params)
   741340    8.019    0.000   24.232    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/fields/related_descriptors.py:748(__init__)
 32514193    7.826    0.000   11.013    0.000 {isinstance}
 18601631    7.377    0.000    7.432    0.000 {hasattr}
16908562/16165417    7.020    0.000   15.181    0.000 {getattr}
      107    5.798    0.054   18.638    0.174 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/lib-python/2.7/hashlib.py:165(pbkdf2_hmac)
4613582/4332115    5.625    0.000   19.867    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/utils/encoding.py:58(force_text)
   285512    5.365    0.000    8.236    0.000 /home/seasun/Programs/PyPy/pypy2-v5.7.1-linux64/site-packages/django/db/models/sql/query.py:258(clone)
