obj_1,obj_2,obj_3,obj_4,obj_5,
1974.133333,1800.432836,1541.225,184.5816667,161.7316667,
1276.066667,1033.895522,1025.3625,101.3333333,89.98916667,
1275.466667,1190.791045,1085.03125,109.0225,89.06083333,
1191.733333,1133.029851,987.4375,104.9133333,90.10333333,
,,,,,
0,0,0,0,0,
0.353606646,0.425751685,0.334709403,0.451010844,0.443589691,0.401733654
0.353910577,0.338608461,0.295994258,0.409353583,0.449329651,0.369439306
0.396325814,0.370690298,0.359316453,0.431615635,0.442883789,0.400166398
