Time, W_CPU, W_MEM, D_CPU, D_MEM
138,17.3,2424508416.0,0.3,50503680.0
139,22.8,2433359872.0,0.1,50503680.0
140,16.1,2435764224.0,0.1,50503680.0
141,19.5,2436153344.0,0.3,50503680.0
142,16.3,2436390912.0,0.2,64356352.0
143,18.2,2436743168.0,0.5,63078400.0
144,18.8,2437173248.0,0.1,50503680.0
145,18.3,2437451776.0,0.2,50503680.0
146,18.1,2437824512.0,0.3,50503680.0
147,21.5,2440892416.0,0.1,50503680.0
148,15.2,2440736768.0,0.3,50503680.0
149,24.8,2441457664.0,0.1,50503680.0
150,15.5,2441633792.0,0.2,50503680.0
151,21.3,2441142272.0,0.3,50503680.0
152,15.1,2441691136.0,0.2,50503680.0
153,19.8,2442674176.0,0.2,50503680.0
154,21.6,2442915840.0,0.4,50503680.0
155,16.6,2442973184.0,0.1,50503680.0
156,15.4,2443165696.0,0.2,50503680.0
157,20.3,2443235328.0,0.4,50503680.0
158,15.7,2443251712.0,0.1,50503680.0
159,18.9,2443321344.0,0.2,50503680.0
160,20.7,2431873024.0,0.3,50503680.0
161,16.9,2431893504.0,0.2,63143936.0
162,15.7,2438127616.0,0.1,50503680.0
163,22.9,2440241152.0,0.3,50503680.0
164,15.1,2440265728.0,0.2,50503680.0
165,21.6,2460844032.0,0.2,50503680.0
166,18.3,2460864512.0,0.3,50503680.0
167,18.4,2460872704.0,0.1,64479232.0
168,14.2,2461106176.0,0.2,63143936.0
169,20.8,2463485952.0,0.3,50503680.0
170,14.3,2464247808.0,0.1,50503680.0
171,25.4,2488381440.0,0.3,50503680.0
172,15.8,2488627200.0,0.1,50503680.0
173,15.1,2489004032.0,0.2,50503680.0
174,20.0,2489270272.0,0.2,50503680.0
175,15.9,2489516032.0,0.3,50503680.0
176,14.7,2492809216.0,0.2,50503680.0
177,20.3,2493059072.0,0.2,50503680.0
178,15.4,2493280256.0,0.3,50503680.0
179,20.9,2494291968.0,0.2,50503680.0
180,18.0,2497437696.0,0.1,50503680.0
181,17.8,2497708032.0,0.3,50503680.0
182,14.0,2498088960.0,0.1,50503680.0
183,17.7,2500317184.0,0.3,50503680.0
184,17.4,2492067840.0,0.4,50503680.0
185,21.1,2498207744.0,0.3,50503680.0
186,15.0,2498506752.0,0.3,50503680.0
187,19.3,2498818048.0,0.1,50503680.0
188,15.3,2499076096.0,0.3,50503680.0
189,16.8,2507182080.0,0.2,50503680.0
190,19.6,2513346560.0,0.2,50507776.0
191,20.0,2522628096.0,0.1,50507776.0
192,16.0,2534912000.0,0.2,50507776.0
193,21.5,2526908416.0,0.2,50507776.0
194,15.4,2527182848.0,0.3,50507776.0
195,16.2,2527490048.0,0.1,50507776.0
196,18.0,2529849344.0,0.3,50507776.0
197,17.4,2530123776.0,0.2,50507776.0
198,15.8,2533187584.0,0.1,50507776.0
199,21.3,2533433344.0,0.3,50507776.0
200,12.8,2533707776.0,0.2,50507776.0
201,16.4,2546147328.0,0.3,50507776.0
202,18.8,2538057728.0,0.2,50507776.0
203,16.9,2538393600.0,0.3,50507776.0
204,14.4,2538770432.0,0.2,50507776.0
205,23.1,2542108672.0,0.3,65183744.0
206,15.1,2543943680.0,0.1,65318912.0
207,16.4,2545283072.0,0.2,63221760.0
208,18.5,2545557504.0,0.2,50507776.0
209,14.4,2545827840.0,0.3,64208896.0
210,16.0,2546229248.0,0.1,50507776.0
211,21.0,2544312320.0,0.4,50507776.0
212,14.3,2544443392.0,0.1,50507776.0
213,18.1,2545631232.0,0.2,50507776.0
214,19.9,2545672192.0,0.3,50507776.0
215,16.8,2545721344.0,0.2,50507776.0
216,11.4,2557132800.0,0.2,50507776.0
217,22.2,2557788160.0,0.3,50507776.0
218,13.1,2557898752.0,0.2,50507776.0
219,19.9,2572791808.0,0.3,50507776.0
220,17.7,2571276288.0,0.2,50507776.0
221,16.2,2572414976.0,0.2,50507776.0
222,13.4,2579734528.0,0.2,50507776.0
223,20.7,2587103232.0,0.2,63287296.0
224,14.4,2587131904.0,0.2,63287296.0
225,15.1,2587262976.0,0.2,63287296.0
226,20.9,2583707648.0,0.2,50507776.0
227,17.5,2586087424.0,0.2,50507776.0
228,14.2,2587127808.0,0.2,63287296.0
229,16.5,2587140096.0,0.4,50507776.0
230,18.0,2587271168.0,0.1,50507776.0
231,15.6,2587361280.0,0.2,50507776.0
232,17.1,2590896128.0,0.3,63287296.0
233,24.9,2578743296.0,0.1,50507776.0
234,11.3,2578751488.0,0.2,50507776.0
235,17.9,2578751488.0,0.2,50507776.0
236,17.8,2582831104.0,0.2,50507776.0
237,15.5,2582847488.0,0.2,50507776.0
238,17.4,2582872064.0,0.2,67166208.0
239,21.1,2587238400.0,0.3,50507776.0
240,13.6,2587238400.0,0.2,50507776.0
241,17.7,2587332608.0,0.3,50507776.0
242,16.5,2587561984.0,0.1,63287296.0
243,16.2,2597765120.0,0.3,65171456.0
244,19.2,2588807168.0,0.3,50507776.0
245,14.6,2591920128.0,0.3,50507776.0
246,21.6,2583838720.0,0.3,63283200.0
247,19.1,2586263552.0,0.2,50507776.0
248,18.0,2600099840.0,0.3,50507776.0
249,20.7,2616479744.0,0.2,50507776.0
250,18.1,2616913920.0,0.2,50507776.0
251,17.8,2619949056.0,0.2,50507776.0
252,15.5,2621128704.0,0.3,50507776.0
253,17.7,2635079680.0,0.1,50507776.0
254,14.8,2635468800.0,0.2,50507776.0
255,20.0,2657185792.0,0.2,50507776.0
256,14.6,2664685568.0,0.4,50511872.0
257,18.2,2657976320.0,0.2,50511872.0
258,17.9,2654584832.0,0.1,50511872.0
259,16.8,2655924224.0,0.4,50511872.0
260,13.9,2656182272.0,0.2,50511872.0
261,15.6,2656481280.0,0.1,50511872.0
262,19.7,2658537472.0,0.3,50511872.0
