Time, W_CPU, W_MEM, D_CPU, D_MEM
138,37.1,3483328512.0,0.4,51040256.0
139,32.1,3487813632.0,0.4,51040256.0
140,34.5,3498110976.0,0.4,51040256.0
141,38.6,3497619456.0,0.3,51040256.0
142,35.3,3497639936.0,0.5,66097152.0
143,36.7,3497918464.0,0.3,65945600.0
144,26.1,3503443968.0,0.4,65949696.0
145,42.8,3503591424.0,0.4,51040256.0
146,32.9,3503689728.0,0.5,51040256.0
147,34.7,3518779392.0,0.3,51040256.0
148,28.6,3518812160.0,0.5,51040256.0
149,26.9,3518849024.0,0.3,51040256.0
150,37.9,3538325504.0,0.6,63909888.0
151,29.7,3538341888.0,0.3,51040256.0
152,36.0,3541131264.0,0.3,51044352.0
153,26.3,3541143552.0,0.4,51044352.0
154,35.1,3541143552.0,0.4,51044352.0
155,34.9,3541352448.0,0.5,51044352.0
156,25.6,3541487616.0,0.4,51044352.0
157,38.5,3524382720.0,0.7,51044352.0
158,30.9,3524435968.0,0.2,51044352.0
159,33.6,3568418816.0,0.5,63578112.0
160,38.2,3568893952.0,0.3,51044352.0
161,29.4,3569065984.0,0.5,51044352.0
162,39.0,3589615616.0,0.4,51044352.0
163,29.5,3590459392.0,0.4,51044352.0
164,46.3,3592077312.0,0.5,66183168.0
165,28.1,3592974336.0,0.2,51044352.0
166,27.9,3593367552.0,0.4,65478656.0
167,36.1,3593908224.0,0.4,66191360.0
168,32.4,3596455936.0,0.4,51044352.0
169,36.9,3597455360.0,0.4,51044352.0
170,35.1,3598282752.0,0.5,51044352.0
171,25.0,3603468288.0,0.3,51044352.0
172,45.8,3611082752.0,0.6,63578112.0
173,30.1,3613507584.0,0.4,65081344.0
174,32.6,3628257280.0,0.2,63643648.0
175,30.8,3613671424.0,0.4,66277376.0
176,28.0,3614519296.0,0.4,51044352.0
177,33.6,3614797824.0,0.5,63643648.0
178,36.1,3615129600.0,0.3,51044352.0
179,36.3,3615412224.0,0.5,51044352.0
180,31.4,3615686656.0,0.4,51044352.0
181,35.0,3625988096.0,0.3,51044352.0
182,30.4,3616960512.0,0.5,51044352.0
183,26.0,3617214464.0,0.4,51044352.0
184,43.4,3616436224.0,0.4,51044352.0
185,29.5,3617746944.0,0.3,51044352.0
186,32.8,3618029568.0,0.6,63647744.0
187,30.1,3618291712.0,0.3,51044352.0
188,28.5,3618549760.0,0.4,51048448.0
189,39.5,3628380160.0,0.4,66322432.0
190,32.4,3628650496.0,0.5,51048448.0
191,37.6,3633422336.0,0.4,51048448.0
192,28.1,3633950720.0,0.3,51048448.0
193,28.6,3634216960.0,0.4,51048448.0
194,35.8,3646640128.0,0.4,51048448.0
195,29.3,3646906368.0,0.4,51048448.0
196,27.7,3647176704.0,0.3,51048448.0
197,34.6,3647438848.0,0.5,65409024.0
198,25.2,3647700992.0,0.3,51048448.0
199,35.6,3651383296.0,0.5,51048448.0
200,32.9,3651928064.0,0.5,51048448.0
201,30.4,3672809472.0,0.4,51048448.0
202,35.6,3672543232.0,0.4,51048448.0
203,28.5,3672788992.0,0.2,51048448.0
204,25.7,3688497152.0,0.4,66605056.0
205,41.7,3688615936.0,0.6,51048448.0
206,29.1,3688718336.0,0.3,51048448.0
207,31.8,3691724800.0,0.4,51048448.0
208,28.1,3694190592.0,0.4,51048448.0
209,33.5,3694567424.0,0.4,51048448.0
210,32.5,3694616576.0,0.4,51048448.0
211,27.6,3694637056.0,0.2,51048448.0
212,34.6,3695079424.0,0.7,51048448.0
213,28.0,3696128000.0,0.4,66670592.0
214,32.8,3696013312.0,0.3,51048448.0
215,36.5,3697106944.0,0.4,63586304.0
216,24.9,3699331072.0,0.5,51048448.0
217,34.6,3699363840.0,0.4,51048448.0
218,26.5,3699376128.0,0.4,51048448.0
219,26.9,3704434688.0,0.6,51048448.0
220,39.8,3703967744.0,0.2,64724992.0
221,29.0,3704377344.0,0.6,66240512.0
222,27.5,3704537088.0,0.4,51048448.0
223,42.4,3710095360.0,0.3,66322432.0
224,27.8,3710111744.0,0.3,51052544.0
225,30.6,3710160896.0,0.5,51052544.0
226,31.8,3710382080.0,0.4,51052544.0
227,35.3,3710889984.0,0.4,51052544.0
228,27.4,3710894080.0,0.4,80764928.0
229,34.0,3715756032.0,0.4,51052544.0
230,36.1,3718705152.0,0.3,51052544.0
231,29.6,3719303168.0,0.3,51052544.0
232,28.3,3719712768.0,0.5,51052544.0
233,41.0,3719991296.0,0.5,51052544.0
234,23.8,3720302592.0,0.3,51052544.0
235,38.8,3728695296.0,0.5,65519616.0
236,27.2,3728961536.0,0.4,51052544.0
237,25.5,3729276928.0,0.4,51052544.0
238,40.6,3729649664.0,0.3,51052544.0
239,28.0,3739734016.0,0.6,51052544.0
240,31.3,3740450816.0,0.4,63664128.0
241,30.1,3742887936.0,0.2,63664128.0
242,28.4,3743244288.0,0.4,51052544.0
243,36.3,3755081728.0,0.4,66834432.0
244,27.7,3755380736.0,0.6,51052544.0
245,34.4,3755646976.0,0.3,51052544.0
246,24.2,3755958272.0,0.5,51052544.0
247,28.3,3756265472.0,0.5,51052544.0
248,37.9,3776786432.0,0.3,51052544.0
249,30.8,3817971712.0,0.4,51052544.0
250,37.3,3815137280.0,0.4,51052544.0
251,28.2,3815436288.0,0.4,51052544.0
252,24.2,3815755776.0,0.3,65888256.0
253,34.1,3816042496.0,0.4,51052544.0
254,26.5,3816374272.0,0.6,51056640.0
255,36.8,3812478976.0,0.4,65241088.0
256,30.6,3813060608.0,0.3,63737856.0
257,31.6,3813453824.0,0.5,51056640.0
258,30.5,3813842944.0,0.3,63737856.0
259,27.1,3814653952.0,0.4,51056640.0
260,34.7,3826933760.0,0.5,51056640.0
261,26.5,3837530112.0,0.4,51056640.0
262,42.0,3830214656.0,0.4,51056640.0
263,34.4,3831115776.0,0.5,51056640.0
264,25.6,3831386112.0,0.3,51056640.0
265,34.6,3824959488.0,0.3,51056640.0
266,29.4,3825270784.0,0.5,51056640.0
267,26.0,3833708544.0,0.4,51056640.0
268,41.1,3835858944.0,0.4,51056640.0
269,27.6,3836387328.0,0.3,65593344.0
270,26.1,3836653568.0,0.4,51056640.0
271,33.5,3837775872.0,0.6,51056640.0
272,27.4,3838627840.0,0.3,51056640.0
273,37.3,3847258112.0,0.3,63737856.0
274,28.0,3847548928.0,0.4,66740224.0
275,32.7,3850653696.0,0.5,51056640.0
276,27.4,3850985472.0,0.8,63737856.0
277,26.8,3851309056.0,0.3,82055168.0
278,39.0,3857944576.0,0.3,51056640.0
279,25.8,3859177472.0,0.4,51056640.0
280,27.8,3859701760.0,0.4,51056640.0
281,32.9,3859091456.0,0.5,51056640.0
282,28.9,3859460096.0,0.3,63737856.0
283,27.7,3860324352.0,0.5,51056640.0
284,40.8,3885592576.0,0.4,51056640.0
285,27.1,3887312896.0,0.4,51056640.0
286,27.5,3887714304.0,0.4,51056640.0
287,33.5,3888111616.0,0.3,51056640.0
288,31.9,3888160768.0,0.4,51056640.0
289,27.3,3888279552.0,0.3,51056640.0
290,35.1,3884048384.0,0.5,51056640.0
291,25.3,3884220416.0,0.5,51056640.0
292,30.5,3884371968.0,0.2,51056640.0
293,37.5,3888865280.0,0.4,51056640.0
294,30.4,3889192960.0,0.4,79351808.0
295,32.0,3889369088.0,0.4,63741952.0
296,28.6,3889389568.0,0.4,67063808.0
297,24.6,3889397760.0,0.4,51060736.0
298,41.5,3896532992.0,0.4,51060736.0
299,19.3,3896606720.0,0.2,51060736.0
